pattern,nodes,size,strat_label,strat,load_balancing_algo,extra_flags,load_fraction,flowsize,seed,n_flows,duration_us,fct_mean,fct_p50,fct_p99,fct_max,fct_min,new,rtx,rts,bounced,acks,nacks,pulls,sleek_pkts,rtx_rate_pct,rts_rate_pct,nack_rate_pct,bounced_rate_pct
tornado,576,m,fpar_tuned,fpar,oblivious,-threshold 20750 -disable_hop_rtt_normalization,0.25,100000,1,144,30.0144,22.7460861111111,21.8096,30.0024,30.0144,19.4816,3600,0,0,0,1169,0,0,0,0.0,0.0,0.0,0.0
tornado,576,m,reps_no_partition,reps_dfp,reps,,0.25,100000,1,144,25.3096,22.4378798611111,22.3176,25.1427,25.3096,20.8136,3600,0,0,0,1096,0,0,0,0.0,0.0,0.0,0.0
tornado,576,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.2 -reps_warmup_explore_rtts 1.0 -reps_explore_prob 70,0.25,100000,1,144,24.7907,22.521201388888873,22.4696,24.6888,24.7907,21.1456,3600,0,0,0,1113,0,0,0,0.0,0.0,0.0,0.0
tornado,576,m,fpar_tuned,fpar,oblivious,-threshold 20750 -disable_hop_rtt_normalization,0.25,100000,2,144,28.9376,22.05141458333333,21.4878,28.6056,28.9376,19.4816,3600,0,0,0,1141,0,0,0,0.0,0.0,0.0,0.0
tornado,576,m,reps_no_partition,reps_dfp,reps,,0.25,100000,2,144,24.3267,22.37438263888889,22.3096,24.3056,24.3267,21.1416,3600,0,0,0,1109,0,0,0,0.0,0.0,0.0,0.0
tornado,576,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.2 -reps_warmup_explore_rtts 1.0 -reps_explore_prob 70,0.25,100000,2,144,25.6507,22.424530555555556,22.153,25.6507,25.6507,21.1456,3600,0,0,0,1107,0,0,0,0.0,0.0,0.0,0.0
tornado,576,m,fpar_tuned,fpar,oblivious,-threshold 20750 -disable_hop_rtt_normalization,0.25,100000,3,144,30.4376,22.365187499999994,21.4736,30.1056,30.4376,19.4816,3600,0,0,0,1174,0,0,0,0.0,0.0,0.0,0.0
tornado,576,m,reps_no_partition,reps_dfp,reps,,0.25,100000,3,144,25.9827,22.415450000000003,22.153,25.461,25.9827,21.1456,3600,0,0,0,1107,0,0,0,0.0,0.0,0.0,0.0
tornado,576,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.2 -reps_warmup_explore_rtts 1.0 -reps_explore_prob 70,0.25,100000,3,144,25.301,22.380025694444456,22.153,24.6587,25.301,21.1456,3600,0,0,0,1104,0,0,0,0.0,0.0,0.0,0.0
tornado,576,m,fpar_tuned,fpar,oblivious,-threshold 20750 -disable_hop_rtt_normalization,0.25,100000,4,144,28.9376,22.292838194444432,21.4787,28.6096,28.9376,19.4816,3600,0,0,0,1157,0,0,0,0.0,0.0,0.0,0.0
tornado,576,m,reps_no_partition,reps_dfp,reps,,0.25,100000,4,144,26.337,22.346838888888886,22.1416,25.301,26.337,20.9856,3600,0,0,0,1105,0,0,0,0.0,0.0,0.0,0.0
tornado,576,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.2 -reps_warmup_explore_rtts 1.0 -reps_explore_prob 70,0.25,100000,4,144,26.341,22.333657638888887,22.1467,25.153,26.341,21.1496,3600,0,0,0,1120,0,0,0,0.0,0.0,0.0,0.0
tornado,576,m,fpar_tuned,fpar,oblivious,-threshold 20750 -disable_hop_rtt_normalization,0.25,100000,5,144,36.4016,22.91709722222221,21.8056,36.0696,36.4016,19.4816,3600,0,0,0,1181,0,0,0,0.0,0.0,0.0,0.0
tornado,576,m,reps_no_partition,reps_dfp,reps,,0.25,100000,5,144,26.6416,22.481363888888893,22.2736,26.337,26.6416,21.1456,3600,0,0,0,1100,0,0,0,0.0,0.0,0.0,0.0
tornado,576,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.2 -reps_warmup_explore_rtts 1.0 -reps_explore_prob 70,0.25,100000,5,144,25.6416,22.488288194444443,22.4336,24.8261,25.6416,21.1456,3600,0,0,0,1106,0,0,0,0.0,0.0,0.0,0.0
tornado,576,m,fpar_tuned,fpar,oblivious,-threshold 20750 -disable_hop_rtt_normalization,0.25,500000,1,144,110.421,62.143929166666666,55.6354,107.499,110.421,51.9834,17712,310,0,0,6731,310,0,0,1.7502258355916893,0.0,1.7502258355916893,0.0
tornado,576,m,reps_no_partition,reps_dfp,reps,,0.25,500000,1,144,57.9634,55.30282083333332,55.001,57.8667,57.9634,53.9936,17712,0,0,0,4703,0,0,0,0.0,0.0,0.0,0.0
tornado,576,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.2 -reps_warmup_explore_rtts 1.0 -reps_explore_prob 70,0.25,500000,1,144,61.8176,55.520795833333324,54.9856,61.5309,61.8176,53.6485,17712,0,0,0,4696,0,0,0,0.0,0.0,0.0,0.0
tornado,576,m,fpar_tuned,fpar,oblivious,-threshold 20750 -disable_hop_rtt_normalization,0.25,500000,2,144,98.4261,58.27871666666667,54.5989,96.9723,98.4261,51.9834,17712,120,0,0,5726,120,0,0,0.6775067750677507,0.0,0.6775067750677507,0.0
tornado,576,m,reps_no_partition,reps_dfp,reps,,0.25,500000,2,144,57.3597,55.283780555555566,55.1896,56.9754,57.3597,53.9907,17712,0,0,0,4665,0,0,0,0.0,0.0,0.0,0.0
tornado,576,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.2 -reps_warmup_explore_rtts 1.0 -reps_explore_prob 70,0.25,500000,2,144,59.3187,55.02417847222224,54.8224,57.6405,59.3187,53.9794,17712,0,0,0,4672,0,0,0,0.0,0.0,0.0,0.0
tornado,576,m,fpar_tuned,fpar,oblivious,-threshold 20750 -disable_hop_rtt_normalization,0.25,500000,3,144,111.11,60.50196041666665,54.1034,101.748,111.11,51.9834,17712,223,0,0,6489,223,0,0,1.25903342366757,0.0,1.25903342366757,0.0
tornado,576,m,reps_no_partition,reps_dfp,reps,,0.25,500000,3,144,58.661,55.26772847222222,54.9834,58.3802,58.661,54.0192,17712,0,0,0,4683,0,0,0,0.0,0.0,0.0,0.0
tornado,576,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.2 -reps_warmup_explore_rtts 1.0 -reps_explore_prob 70,0.25,500000,3,144,58.537,55.24061666666668,54.9754,58.4456,58.537,53.6554,17712,0,0,0,4661,0,0,0,0.0,0.0,0.0,0.0
tornado,576,m,fpar_tuned,fpar,oblivious,-threshold 20750 -disable_hop_rtt_normalization,0.25,500000,4,144,94.0475,59.91343333333331,54.3074,94.0333,94.0475,51.9834,17712,180,0,0,6342,180,0,0,1.016260162601626,0.0,1.016260162601626,0.0
tornado,576,m,reps_no_partition,reps_dfp,reps,,0.25,500000,4,144,58.3581,55.31296111111113,55.1896,58.0733,58.3581,53.9874,17712,0,0,0,4668,0,0,0,0.0,0.0,0.0,0.0
tornado,576,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.2 -reps_warmup_explore_rtts 1.0 -reps_explore_prob 70,0.25,500000,4,144,59.201,54.918997916666676,54.6496,58.0864,59.201,53.9754,17712,0,0,0,4663,0,0,0,0.0,0.0,0.0,0.0
tornado,576,m,fpar_tuned,fpar,oblivious,-threshold 20750 -disable_hop_rtt_normalization,0.25,500000,5,144,139.522,63.18271111111111,55.4314,128.833,139.522,51.9834,17712,322,0,0,6820,322,0,0,1.8179765130984644,0.0,1.8179765130984644,0.0
tornado,576,m,reps_no_partition,reps_dfp,reps,,0.25,500000,5,144,59.869,55.54141805555557,55.3176,59.0442,59.869,54.3074,17712,0,0,0,4687,0,0,0,0.0,0.0,0.0,0.0
tornado,576,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.2 -reps_warmup_explore_rtts 1.0 -reps_explore_prob 70,0.25,500000,5,144,59.2403,55.046545833333326,54.9714,58.4275,59.2403,53.9794,17712,0,0,0,4683,0,0,0,0.0,0.0,0.0,0.0
tornado,576,m,fpar_tuned,fpar,oblivious,-threshold 20750 -disable_hop_rtt_normalization,0.25,2000000,1,144,483.474,210.60336111111098,178.178,481.421,483.474,173.862,70560,306,0,0,28475,306,0,0,0.4336734693877551,0.0,0.4336734693877551,0.0
tornado,576,m,reps_no_partition,reps_dfp,reps,,0.25,2000000,1,144,185.629,177.91897222222218,177.518,182.433,185.629,176.518,70560,0,0,0,18340,0,0,0,0.0,0.0,0.0,0.0
tornado,576,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.2 -reps_warmup_explore_rtts 1.0 -reps_explore_prob 70,0.25,2000000,1,144,184.818,177.9021875,177.308,184.486,184.818,175.858,70560,0,0,0,18559,0,0,0,0.0,0.0,0.0,0.0
tornado,576,m,fpar_tuned,fpar,oblivious,-threshold 20750 -disable_hop_rtt_normalization,0.25,2000000,2,144,346.576,192.49381944444443,177.349,342.478,346.576,173.862,70560,144,0,0,24782,144,0,0,0.20408163265306123,0.0,0.20408163265306123,0.0
tornado,576,m,reps_no_partition,reps_dfp,reps,,0.25,2000000,2,144,183.967,177.8780972222223,177.495,183.866,183.967,176.522,70560,0,0,0,18123,0,0,0,0.0,0.0,0.0,0.0
tornado,576,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.2 -reps_warmup_explore_rtts 1.0 -reps_explore_prob 70,0.25,2000000,2,144,183.312,177.3793750000001,177.161,181.997,183.312,176.186,70560,0,0,0,18277,0,0,0,0.0,0.0,0.0,0.0
tornado,576,m,fpar_tuned,fpar,oblivious,-threshold 20750 -disable_hop_rtt_normalization,0.25,2000000,3,144,469.69,205.08340972222237,176.521,464.882,469.69,173.862,70560,250,0,0,25785,250,0,0,0.3543083900226757,0.0,0.3543083900226757,0.0
tornado,576,m,reps_no_partition,reps_dfp,reps,,0.25,2000000,3,144,184.22,177.79481250000003,177.448,182.748,184.22,176.19,70560,0,0,0,18207,0,0,0,0.0,0.0,0.0,0.0
