pattern,nodes,size,strat_label,strat,load_balancing_algo,extra_flags,load_fraction,flowsize,seed,n_flows,fct_mean,fct_p50,fct_p99,fct_max,fct_min,new,rtx,rts,bounced,acks,nacks,pulls,sleek_pkts,rtx_rate_pct,rts_rate_pct,nack_rate_pct,bounced_rate_pct
tornado,1100,m,fpar,fpar,oblivious,,0.25,100000,1,275,40.11713090909094,35.2507,133.59,134.746,19.4816,6875,1157,0,0,4811,1141,0,0,16.829090909090908,0.0,16.596363636363638,0.0
tornado,1100,m,reps_dfp_hopnorm_part,reps_dfp,reps,-reps_partition_entropy,0.25,100000,1,275,36.980586545454535,35.3987,80.8059,82.6499,19.4816,6875,824,0,0,4805,824,0,0,11.985454545454546,0.0,11.985454545454546,0.0
tornado,1100,m,fpar,fpar,oblivious,,0.25,100000,2,275,37.8486189090909,35.4227,67.169,69.161,19.4816,6875,929,0,0,4940,929,0,0,13.512727272727274,0.0,13.512727272727274,0.0
tornado,1100,m,reps_dfp_hopnorm_part,reps_dfp,reps,-reps_partition_entropy,0.25,100000,2,275,38.68730763636364,35.4227,68.9416,69.2736,19.4816,6875,1250,0,0,4955,1250,0,0,18.181818181818183,0.0,18.181818181818183,0.0
tornado,1100,m,fpar,fpar,oblivious,,0.25,100000,3,275,38.505916,35.3987,131.93,133.922,19.4816,6875,809,0,0,4842,802,0,0,11.767272727272728,0.0,11.665454545454546,0.0
tornado,1100,m,reps_dfp_hopnorm_part,reps_dfp,reps,-reps_partition_entropy,0.25,100000,3,275,37.61152036363637,35.3987,76.3398,86.3654,19.4816,6875,1051,0,0,4861,1051,0,0,15.287272727272727,0.0,15.287272727272727,0.0
tornado,1100,m,fpar,fpar,oblivious,,0.25,100000,4,275,38.15842945454546,35.2576,130.602,134.254,19.4816,6875,946,0,0,4783,938,0,0,13.76,0.0,13.643636363636364,0.0
tornado,1100,m,reps_dfp_hopnorm_part,reps_dfp,reps,-reps_partition_entropy,0.25,100000,4,275,41.236270181818206,35.5422,69.1405,70.8038,19.4816,6875,1485,0,0,5164,1485,0,0,21.6,0.0,21.6,0.0
tornado,1100,m,fpar,fpar,oblivious,,0.25,100000,5,275,37.91173381818182,35.3987,68.6587,78.4918,19.4816,6875,1130,0,0,4867,1130,0,0,16.436363636363637,0.0,16.436363636363637,0.0
tornado,1100,m,reps_dfp_hopnorm_part,reps_dfp,reps,-reps_partition_entropy,0.25,100000,5,275,36.91641672727272,35.3987,66.1525,69.1405,19.4816,6875,873,0,0,4742,873,0,0,12.698181818181817,0.0,12.698181818181817,0.0
tornado,1100,m,fpar,fpar,oblivious,,0.25,500000,1,275,145.64864327272736,136.882,298.302,306.155,51.9834,33825,6026,1,0,28516,5916,0,0,17.815225424981524,0.0029563932002956393,17.490022172949,0.0
