pattern,nodes,size,strat_label,strat,load_balancing_algo,extra_flags,load_fraction,flowsize,seed,n_flows,duration_us,fct_mean,fct_p50,fct_p99,fct_max,fct_min,new,rtx,rts,bounced,acks,nacks,pulls,sleek_pkts,rtx_rate_pct,rts_rate_pct,nack_rate_pct,bounced_rate_pct
tornado,1100,m,fpar,fpar,oblivious,,0.25,100000,1,275,38.2376,28.280521454545486,27.4547,35.7547,38.2376,19.4816,6875,0,0,0,3246,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,fpar_tuned,fpar,oblivious,-threshold 20750,0.25,100000,1,275,29.2736,22.569353090909104,21.8056,28.9416,29.2736,19.4867,6875,0,0,0,2231,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_no_partition,reps_dfp,reps,,0.25,100000,1,275,24.6547,22.42283854545455,22.3136,24.3278,24.6547,21.1416,6875,0,0,0,2110,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.2 -reps_warmup_explore_rtts 1.0 -reps_explore_prob 70,0.25,100000,1,275,25.3238,22.539538545454565,22.3376,24.6627,25.3238,21.1456,6875,0,0,0,2115,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,fpar,fpar,oblivious,,0.25,100000,2,275,35.7496,28.113413090909113,27.4496,35.7496,35.7496,19.4816,6875,0,0,0,3188,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,fpar_tuned,fpar,oblivious,-threshold 20750,0.25,100000,2,275,28.9416,23.012805818181832,21.8107,28.9376,28.9416,19.4816,6875,0,0,0,2263,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_no_partition,reps_dfp,reps,,0.25,100000,2,275,28.993,22.47380509090909,22.2958,25.157,28.993,21.1456,6875,0,0,0,2113,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.2 -reps_warmup_explore_rtts 1.0 -reps_explore_prob 70,0.25,100000,2,275,26.505,22.566772363636368,22.4696,25.3227,26.505,21.1416,6875,0,0,0,2118,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,fpar,fpar,oblivious,,0.25,100000,3,275,37.5736,28.271660727272753,27.4496,35.7496,37.5736,19.4816,6875,0,0,0,3180,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,fpar_tuned,fpar,oblivious,-threshold 20750,0.25,100000,3,275,30.9336,22.571790545454547,21.8056,30.1096,30.9336,20.1456,6875,0,0,0,2225,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_no_partition,reps_dfp,reps,,0.25,100000,3,275,25.673,22.425004000000023,22.3216,24.9907,25.673,21.1416,6875,0,0,0,2109,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.2 -reps_warmup_explore_rtts 1.0 -reps_explore_prob 70,0.25,100000,3,275,27.337,22.422598181818177,22.153,24.6547,27.337,20.8227,6875,0,0,0,2114,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,fpar,fpar,oblivious,,0.25,100000,4,275,38.2376,28.48531818181822,27.4496,37.9056,38.2376,19.4816,6875,0,0,0,3257,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,fpar_tuned,fpar,oblivious,-threshold 20750,0.25,100000,4,275,36.7694,23.2563861818182,21.8056,36.1054,36.7694,19.4816,6875,0,0,0,2342,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_no_partition,reps_dfp,reps,,0.25,100000,4,275,25.3267,22.50730763636364,22.3256,24.8301,25.3267,21.1456,6875,0,0,0,2134,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.2 -reps_warmup_explore_rtts 1.0 -reps_explore_prob 70,0.25,100000,4,275,25.9827,22.525881818181816,22.4336,24.8147,25.9827,21.1456,6875,0,0,0,2118,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,fpar,fpar,oblivious,,0.25,100000,5,275,35.9096,28.057039636363687,27.4496,35.5896,35.9096,19.4816,6875,0,0,0,3125,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,fpar_tuned,fpar,oblivious,-threshold 20750,0.25,100000,5,275,28.9416,22.49600618181819,21.4838,28.6466,28.9416,19.4867,6875,0,0,0,2227,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_no_partition,reps_dfp,reps,,0.25,100000,5,275,25.153,22.46328181818183,22.3256,24.8363,25.153,20.9816,6875,0,0,0,2121,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.2 -reps_warmup_explore_rtts 1.0 -reps_explore_prob 70,0.25,100000,5,275,26.337,22.42710836363637,22.3216,24.9867,26.337,21.1416,6875,0,0,0,2119,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,fpar,fpar,oblivious,,0.25,500000,1,275,117.109,68.25772545454547,63.4776,116.445,117.109,52.183,33825,184,0,0,19684,184,0,0,0.5439763488543976,0.0,0.5439763488543976,0.0
