sweep,x,pattern,load,flowsize,mean,p99,mean_delta_pct,p99_delta_pct
explore_prob,0,permutation,0.6,500000,74.84,82.55,7.135004498891184,7.447475017441797
explore_prob,0,permutation,0.7,500000,79.80,88.95,3.331187088354461,4.894805818640375
explore_prob,0,permutation,0.8,500000,85.64,94.80,1.318743125074471,3.8635368415978064
explore_prob,0,permutation,0.9,500000,91.32,100.06,0.3977036774773026,2.4253266017551827
explore_prob,0,tornado,0.25,500000,65.09,72.26,17.614719338979633,23.81114206096315
explore_prob,0,tornado,0.5,500000,76.72,85.83,21.367566220438942,20.06496698024784
explore_prob,0,tornado,0.75,500000,85.16,93.76,3.6886066163599085,4.986882811948903
explore_prob,0,tornado,1.0,500000,98.12,106.77,-0.27241996330553114,2.889245070295864
explore_prob,20,permutation,0.6,500000,73.16,79.94,4.734379214541592,4.046801295379065
explore_prob,20,permutation,0.7,500000,76.83,83.81,-0.5221928009763661,-1.1637359363072288
explore_prob,20,permutation,0.8,500000,81.75,89.81,-3.2934505080178376,-1.5944343623851163
explore_prob,20,permutation,0.9,500000,87.93,95.70,-3.327967919773351,-2.038887522207624
explore_prob,20,tornado,0.25,500000,63.93,67.73,15.515762697716628,16.053758693579905
explore_prob,20,tornado,0.5,500000,70.40,78.80,11.3647408420932,10.241532422402875
explore_prob,20,tornado,0.75,500000,80.93,88.83,-1.4662457458999947,-0.5336450554975236
explore_prob,20,tornado,1.0,500000,96.44,104.41,-1.9809742665317738,0.6102907874999526
explore_prob,40,permutation,0.6,500000,72.17,78.58,3.321172973984972,2.2816651104994587
explore_prob,40,permutation,0.7,500000,75.90,82.42,-1.720360956991847,-2.8087290612045273
explore_prob,40,permutation,0.8,500000,80.68,88.43,-4.558920320529535,-3.1080823947522425
explore_prob,40,permutation,0.9,500000,86.53,94.44,-4.860754100789201,-3.328098242736003
explore_prob,40,tornado,0.25,500000,63.97,68.28,15.592821201490732,16.995809490302186
explore_prob,40,tornado,0.5,500000,66.63,71.79,5.4044862167792385,0.42644489977495825
explore_prob,40,tornado,0.75,500000,78.58,86.43,-4.326787837546612,-3.222808567432867
explore_prob,40,tornado,1.0,500000,96.49,104.70,-1.9283313400204138,0.8868488759407297
explore_prob,70,permutation,0.6,500000,69.79,76.40,-0.09516117049478073,-0.5563587075365836
explore_prob,70,permutation,0.7,500000,74.79,81.18,-3.161983993203605,-4.267831044646109
explore_prob,70,permutation,0.8,500000,81.01,89.74,-4.157521578910624,-1.6767546100616955
explore_prob,70,permutation,0.9,500000,87.36,96.37,-3.9521819006057255,-1.3602478177929063
explore_prob,70,tornado,0.25,500000,55.60,59.56,0.4741760194290855,2.0457934696129407
explore_prob,70,tornado,0.5,500000,67.18,72.55,6.268427428845825,1.4926270964348254
explore_prob,70,tornado,0.75,500000,78.62,88.52,-4.276827246569892,-0.8848550129902907
explore_prob,70,tornado,1.0,500000,97.05,103.73,-1.364983583316558,-0.04689602893420313
threshold,0.1,permutation,0.6,500000,82.70,97.41,18.390783334485217,26.78613576488802
threshold,0.1,permutation,0.7,500000,90.30,105.01,16.914384867323115,23.837148510866122
threshold,0.1,permutation,0.8,500000,97.84,112.94,15.743493465693524,23.74369404624471
threshold,0.1,permutation,0.9,500000,104.70,121.22,15.114107278811971,24.078129888705142
threshold,0.1,tornado,0.25,500000,69.20,80.53,25.048388033587706,37.99182230913819
threshold,0.1,tornado,0.5,500000,92.10,108.60,45.69652462644738,51.92117041288446
threshold,0.1,tornado,0.75,500000,104.72,121.33,27.50427296243399,35.84733974319498
threshold,0.1,tornado,1.0,500000,117.47,133.95,19.386690590997517,29.07489552785334
threshold,0.2,permutation,0.6,500000,85.81,101.47,22.841580632727783,32.07260648175466
threshold,0.2,permutation,0.7,500000,93.69,109.81,21.305562678185552,29.49328645632286
threshold,0.2,permutation,0.8,500000,101.03,117.27,19.517210437416427,28.48386482971506
threshold,0.2,permutation,0.9,500000,107.99,125.59,18.72888792463301,28.55257990564555
threshold,0.2,tornado,0.25,500000,72.54,87.04,31.07268422523101,49.14153664968264
threshold,0.2,tornado,0.5,500000,95.93,114.69,51.74832750786126,60.44120842686833
threshold,0.2,tornado,0.75,500000,108.09,125.85,31.59941224286793,40.912451680638554
threshold,0.2,tornado,1.0,500000,121.06,142.98,23.035086785964246,37.77860577463566
threshold,0.35,permutation,0.6,500000,88.30,105.37,26.40014529080872,37.15719487263148
threshold,0.35,permutation,0.7,500000,96.22,113.94,24.58291091232056,34.36600075001121
threshold,0.35,permutation,0.8,500000,103.66,120.78,22.633963049666608,32.331806841784065
threshold,0.35,permutation,0.9,500000,110.92,130.89,21.953907233165992,33.97862677306991
threshold,0.35,tornado,0.25,500000,75.65,90.51,36.70218606737788,55.08832511547174
threshold,0.35,tornado,0.5,500000,101.39,123.70,60.38090325332235,73.0470968638463
threshold,0.35,tornado,0.75,500000,114.86,136.98,39.84595476250014,53.380591786912234
threshold,0.35,tornado,1.0,500000,128.90,173.41,31.002627057216646,67.10532655375218
threshold,0.5,permutation,0.6,500000,89.62,109.25,28.30034940049206,42.20707321390763
threshold,0.5,permutation,0.7,500000,98.05,118.65,26.95254256074898,39.919935910992386
threshold,0.5,permutation,0.8,500000,105.75,126.00,25.10945430470078,38.057702330130496
threshold,0.5,permutation,0.9,500000,113.30,134.95,24.565860474585747,38.13064616121602
threshold,0.5,tornado,0.25,500000,77.26,91.95,39.597176348463584,57.553398013891446
threshold,0.5,tornado,0.5,500000,108.05,133.96,70.91454409814052,87.39886797415123
threshold,0.5,tornado,0.75,500000,127.07,162.83,54.70845322745783,82.32238237545576
threshold,0.5,tornado,1.0,500000,149.18,191.76,51.62039570089181,84.78191740517207
warmup_rtts,0,permutation,0.6,500000,85.81,101.47,22.841580632727783,32.07260648175466
