pattern,nodes,size,strat_label,strat,load_balancing_algo,extra_flags,load_fraction,flowsize,seed,n_flows,duration_us,fct_mean,fct_p50,fct_p99,fct_max,fct_min,new,rtx,rts,bounced,acks,nacks,pulls,sleek_pkts,rtx_rate_pct,rts_rate_pct,nack_rate_pct,bounced_rate_pct
tornado,1100,m,fpar,fpar,oblivious,-threshold 20750 -disable_hop_rtt_normalization,0.25,100000,1,275,29.2736,22.58131309090911,21.6091,28.9416,29.2736,19.4867,6875,0,0,0,2235,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_uniform_draws,reps_dfp,reps,-dfp_low_uniform,0.25,100000,1,275,26.9816,24.13739854545455,24.1296,25.6456,26.9816,22.9856,6875,0,0,0,2136,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_share,reps_dfp,reps,,0.25,100000,1,275,24.6456,22.24588727272726,21.9896,24.3136,24.6456,20.8176,6875,0,0,0,2127,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.2 -reps_warmup_explore_rtts 0.5 -reps_explore_prob 70,0.25,100000,1,275,24.6496,22.162170181818176,21.829,23.8096,24.6496,20.8318,6875,0,0,0,2122,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,fpar,fpar,oblivious,-threshold 20750 -disable_hop_rtt_normalization,0.25,100000,2,275,28.9416,23.030862181818183,21.8147,28.9376,28.9416,19.4816,6875,0,0,0,2258,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_uniform_draws,reps_dfp,reps,-dfp_low_uniform,0.25,100000,2,275,26.6667,24.08551818181818,23.9936,25.9856,26.6667,23.1456,6875,0,0,0,2126,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_share,reps_dfp,reps,,0.25,100000,2,275,24.3136,22.18892763636362,21.9947,23.9856,24.3136,20.8136,6875,0,0,0,2119,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.2 -reps_warmup_explore_rtts 0.5 -reps_explore_prob 70,0.25,100000,2,275,24.9896,22.161974181818152,22.1376,23.9856,24.9896,21.1416,6875,0,0,0,2121,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,fpar,fpar,oblivious,-threshold 20750 -disable_hop_rtt_normalization,0.25,100000,3,275,30.9336,22.55962981818183,21.8056,29.4456,30.9336,19.8136,6875,0,0,0,2218,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_uniform_draws,reps_dfp,reps,-dfp_low_uniform,0.25,100000,3,275,25.4576,24.10109599999999,24.1296,25.3096,25.4576,22.8016,6875,0,0,0,2136,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_share,reps_dfp,reps,,0.25,100000,3,275,24.3136,22.09592327272728,21.821,23.9856,24.3136,20.9856,6875,0,0,0,2128,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.2 -reps_warmup_explore_rtts 0.5 -reps_explore_prob 70,0.25,100000,3,275,24.3216,22.159873090909098,21.9576,24.1456,24.3216,21.1416,6875,0,0,0,2126,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,fpar,fpar,oblivious,-threshold 20750 -disable_hop_rtt_normalization,0.25,100000,4,275,36.7694,23.28316509090911,21.8056,36.1054,36.7694,19.4816,6875,0,0,0,2342,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_uniform_draws,reps_dfp,reps,-dfp_low_uniform,0.25,100000,4,275,26.1336,24.12305854545454,24.1336,25.6416,26.1336,22.4696,6875,0,0,0,2134,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_share,reps_dfp,reps,,0.25,100000,4,275,24.3238,22.054074909090904,21.8176,23.9816,24.3238,20.8176,6875,0,0,0,2128,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.2 -reps_warmup_explore_rtts 0.5 -reps_explore_prob 70,0.25,100000,4,275,24.9536,22.229947999999986,22.1376,24.3176,24.9536,20.8176,6875,0,0,0,2118,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,fpar,fpar,oblivious,-threshold 20750 -disable_hop_rtt_normalization,0.25,100000,5,275,28.9416,22.49506254545456,21.4838,28.6096,28.9416,19.4867,6875,0,0,0,2235,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_uniform_draws,reps_dfp,reps,-dfp_low_uniform,0.25,100000,5,275,25.2976,24.101155636363668,24.1296,25.1256,25.2976,22.8016,6875,0,0,0,2135,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_share,reps_dfp,reps,,0.25,100000,5,275,24.3176,22.157736363636367,21.9896,23.9816,24.3176,20.8176,6875,0,0,0,2132,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.2 -reps_warmup_explore_rtts 0.5 -reps_explore_prob 70,0.25,100000,5,275,25.3216,22.046967272727272,21.821,23.9816,25.3216,21.1416,6875,0,0,0,2124,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,fpar,fpar,oblivious,-threshold 20750 -disable_hop_rtt_normalization,0.25,250000,1,275,54.7406,37.00596945454544,34.0462,53.7907,54.7406,31.7171,17050,212,0,0,5914,212,0,0,1.2434017595307918,0.0,1.2434017595307918,0.0
tornado,1100,m,reps_uniform_draws,reps_dfp,reps,-dfp_low_uniform,0.25,250000,1,275,39.2656,36.686925454545474,36.6352,38.6016,39.2656,35.3658,17050,0,0,0,4897,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_share,reps_dfp,reps,,0.25,250000,1,275,36.5976,34.49193345454545,34.3362,36.0349,36.5976,33.663,17050,0,0,0,4676,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.2 -reps_warmup_explore_rtts 0.5 -reps_explore_prob 70,0.25,250000,1,275,39.2416,34.80093236363638,34.339,38.9096,39.2416,33.335,17050,0,0,0,4701,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,fpar,fpar,oblivious,-threshold 20750 -disable_hop_rtt_normalization,0.25,250000,2,275,54.3933,38.20629163636358,34.659,53.3882,54.3933,31.671,17050,289,0,0,6421,289,0,0,1.6950146627565983,0.0,1.6950146627565983,0.0
tornado,1100,m,reps_uniform_draws,reps_dfp,reps,-dfp_low_uniform,0.25,250000,2,275,39.9176,36.643528363636364,36.637,39.2536,39.9176,35.3794,17050,0,0,0,4891,0,0,0,0.0,0.0,0.0,0.0
