threshold_frac,threshold_bytes,pattern,load,fs,seed,mean,p99,rtx_pct
0.1,20750,tornado,0.25,100000,1,22.569353090909104,28.9416,0.0
0.1,20750,tornado,0.25,100000,2,23.012805818181832,28.9376,0.0
0.1,20750,tornado,0.25,100000,3,22.571790545454547,30.1096,0.0
0.25,51875,tornado,0.25,100000,1,24.290413818181836,30.0936,0.0
0.25,51875,tornado,0.25,100000,2,24.517521090909113,29.3106,0.0
0.25,51875,tornado,0.25,100000,3,24.244769818181844,29.6056,0.0
0.5,103750,tornado,0.25,100000,1,28.280521454545486,35.7547,0.0
0.5,103750,tornado,0.25,100000,2,28.113413090909113,35.7496,0.0
0.5,103750,tornado,0.25,100000,3,28.271660727272753,35.7496,0.0
0.75,155625,tornado,0.25,100000,1,30.645417090909085,39.4016,0.0
0.75,155625,tornado,0.25,100000,2,30.574968727272722,39.7336,0.0
0.75,155625,tornado,0.25,100000,3,30.58152036363636,43.3856,0.0
0.9,186750,tornado,0.25,100000,1,32.3681301818182,42.0576,0.0
0.9,186750,tornado,0.25,100000,2,32.335474909090934,42.3896,0.0
0.9,186750,tornado,0.25,100000,3,32.214029090909094,48.5376,0.04363636363636364
0.1,20750,tornado,0.25,500000,1,60.87068799999997,96.0702,1.262379896526238
0.1,20750,tornado,0.25,500000,2,63.45216181818178,96.2238,1.6585365853658536
0.1,20750,tornado,0.25,500000,3,60.97888218181815,98.3234,1.3067257945306725
0.25,51875,tornado,0.25,500000,1,62.65846727272726,97.384,0.9963045084996305
0.25,51875,tornado,0.25,500000,2,64.9198334545454,96.0395,1.1825572801182558
0.25,51875,tornado,0.25,500000,3,62.722536727272676,105.566,0.8396156688839616
0.5,103750,tornado,0.25,500000,1,68.25772545454547,116.445,0.5439763488543976
0.5,103750,tornado,0.25,500000,2,69.8412058181818,95.641,0.5351071692535108
0.5,103750,tornado,0.25,500000,3,68.63939527272727,120.012,0.50849963045085
0.75,155625,tornado,0.25,500000,1,74.25751636363636,121.243,0.5380635624538064
0.75,155625,tornado,0.25,500000,2,74.99849818181823,97.2166,0.679970436067997
0.75,155625,tornado,0.25,500000,3,74.4826145454545,125.917,0.4109386548410939
0.9,186750,tornado,0.25,500000,1,78.02246363636368,133.23,0.42276422764227645
0.9,186750,tornado,0.25,500000,2,78.55889636363636,104.233,0.573540280857354
0.9,186750,tornado,0.25,500000,3,78.67833563636371,124.323,0.43163340724316335
0.1,20750,tornado,0.25,2000000,1,203.95161090909087,381.067,0.3302411873840445
0.1,20750,tornado,0.25,2000000,2,213.59762909090907,345.576,0.4474953617810761
0.1,20750,tornado,0.25,2000000,3,205.10918909090904,432.623,0.36512059369202227
0.25,51875,tornado,0.25,2000000,1,207.48764363636357,360.131,0.2768089053803339
0.25,51875,tornado,0.25,2000000,2,218.03255272727287,357.44,0.35918367346938773
0.25,51875,tornado,0.25,2000000,3,209.7734509090907,445.106,0.2871985157699443
0.5,103750,tornado,0.25,2000000,1,234.73415272727286,458.849,0.18478664192949906
0.5,103750,tornado,0.25,2000000,2,249.62474181818177,495.727,0.19962894248608534
0.5,103750,tornado,0.25,2000000,3,244.15429818181812,517.544,0.1699443413729128
