warmup,explore_prob,pattern,load,flowsize,mean_delta_pct,p99_delta_pct,rtx_pct
0,0,tornado,0.25,100000,48.892,50.384,2.288
0,0,tornado,0.25,2000000,13.300,21.633,2.978
0,0,tornado,0.5,100000,65.053,60.935,39.634
0,0,tornado,0.5,2000000,29.717,39.275,5.990
0,0,tornado,0.75,100000,59.052,48.778,59.496
0,0,tornado,0.75,2000000,17.584,-1.277,6.727
0,0,tornado,1.0,100000,43.045,38.502,72.692
0,0,tornado,1.0,2000000,5.919,-7.241,7.186
0,0,permutation_random,0.6,100000,-12.665,-11.112,0.000
0,0,permutation_random,0.6,2000000,-6.159,-5.792,0.005
0,0,permutation_random,0.7,100000,-13.800,-11.966,0.000
0,0,permutation_random,0.7,2000000,-5.855,-8.539,0.151
0,0,permutation_random,0.8,100000,-16.344,-15.856,0.000
0,0,permutation_random,0.8,2000000,-6.059,-8.873,0.362
0,0,permutation_random,0.9,100000,-17.636,-16.757,0.000
0,0,permutation_random,0.9,2000000,-5.794,-5.399,0.492
0,20,tornado,0.25,100000,34.645,44.161,0.179
0,20,tornado,0.25,2000000,6.632,11.321,1.565
0,20,tornado,0.5,100000,58.146,54.240,21.796
0,20,tornado,0.5,2000000,19.028,26.511,4.667
0,20,tornado,0.75,100000,53.183,45.943,40.160
0,20,tornado,0.75,2000000,10.512,-6.489,5.508
0,20,tornado,1.0,100000,40.205,34.847,51.269
0,20,tornado,1.0,2000000,0.869,-9.659,6.006
0,20,permutation_random,0.6,100000,-9.572,-9.853,0.000
0,20,permutation_random,0.6,2000000,-6.431,-6.432,0.009
0,20,permutation_random,0.7,100000,-11.045,-9.571,0.000
0,20,permutation_random,0.7,2000000,-5.629,-7.815,0.154
0,20,permutation_random,0.8,100000,-12.999,-10.498,0.000
0,20,permutation_random,0.8,2000000,-5.559,-7.946,0.322
0,20,permutation_random,0.9,100000,-14.237,-14.180,0.000
0,20,permutation_random,0.9,2000000,-5.128,-6.750,0.471
0,40,tornado,0.25,100000,15.768,27.948,0.000
0,40,tornado,0.25,2000000,2.882,2.833,0.428
0,40,tornado,0.5,100000,48.517,42.013,5.719
0,40,tornado,0.5,2000000,10.621,16.077,3.179
0,40,tornado,0.75,100000,44.135,39.036,22.032
0,40,tornado,0.75,2000000,5.094,-11.525,4.212
0,40,tornado,1.0,100000,34.996,32.075,31.218
0,40,tornado,1.0,2000000,-2.824,-6.012,4.661
0,40,permutation_random,0.6,100000,-7.302,-7.147,0.000
0,40,permutation_random,0.6,2000000,-6.140,-6.140,0.008
0,40,permutation_random,0.7,100000,-8.694,-8.205,0.000
0,40,permutation_random,0.7,2000000,-4.729,-6.502,0.182
0,40,permutation_random,0.8,100000,-10.514,-10.646,0.000
0,40,permutation_random,0.8,2000000,-4.416,-6.613,0.349
0,40,permutation_random,0.9,100000,-11.401,-11.882,0.000
0,40,permutation_random,0.9,2000000,-3.998,-4.810,0.459
0,70,tornado,0.25,100000,-1.264,-0.085,0.000
0,70,tornado,0.25,2000000,0.016,-1.033,0.000
0,70,tornado,0.5,100000,10.906,17.643,0.000
0,70,tornado,0.5,2000000,3.523,5.550,0.611
0,70,tornado,0.75,100000,20.245,19.231,0.438
0,70,tornado,0.75,2000000,0.657,-1.478,1.894
0,70,tornado,1.0,100000,17.167,14.592,4.704
0,70,tornado,1.0,2000000,-3.935,0.949,2.503
0,70,permutation_random,0.6,100000,-3.636,-3.796,0.000
0,70,permutation_random,0.6,2000000,-3.543,-2.657,0.027
0,70,permutation_random,0.7,100000,-4.151,-3.837,0.000
0,70,permutation_random,0.7,2000000,-2.335,-1.087,0.182
0,70,permutation_random,0.8,100000,-5.300,-4.258,0.000
0,70,permutation_random,0.8,2000000,-1.539,1.398,0.333
0,70,permutation_random,0.9,100000,-5.756,-5.136,0.000
0,70,permutation_random,0.9,2000000,-1.075,0.495,0.498
0.5,0,tornado,0.25,100000,3.901,7.576,0.000
0.5,0,tornado,0.25,2000000,9.205,14.971,2.194
0.5,0,tornado,0.5,100000,16.873,20.225,0.000
0.5,0,tornado,0.5,2000000,22.811,29.864,5.278
0.5,0,tornado,0.75,100000,20.313,19.511,0.204
0.5,0,tornado,0.75,2000000,12.892,-6.128,6.145
0.5,0,tornado,1.0,100000,18.311,16.018,2.508
0.5,0,tornado,1.0,2000000,1.569,-11.885,6.457
0.5,0,permutation_random,0.6,100000,-4.496,-7.131,0.000
0.5,0,permutation_random,0.6,2000000,-5.039,-5.131,0.017
0.5,0,permutation_random,0.7,100000,-4.815,-5.920,0.000
0.5,0,permutation_random,0.7,2000000,-4.912,-7.330,0.183
