pattern,nodes,size,strat_label,strat,load_balancing_algo,extra_flags,load_fraction,flowsize,seed,n_flows,fct_mean,fct_p50,fct_p99,fct_max,fct_min,new,rtx,rts,bounced,acks,nacks,pulls,sleek_pkts,rtx_rate_pct,rts_rate_pct,nack_rate_pct,bounced_rate_pct
tornado,1100,m,fpar,fpar,oblivious,,0.25,100000,1,275,28.280521454545486,27.4547,35.7547,38.2376,19.4816,6875,0,0,0,3246,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_dfp_hopnorm_part,reps_dfp,reps,-reps_partition_entropy,0.25,100000,1,275,33.47637999999999,33.7456,37.6259,38.2899,25.9376,6875,81,0,0,4294,81,0,0,1.1781818181818182,0.0,1.1781818181818182,0.0
tornado,1100,m,fpar,fpar,oblivious,,0.25,100000,2,275,28.113413090909113,27.4496,35.7496,35.7496,19.4816,6875,0,0,0,3188,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_dfp_hopnorm_part,reps_dfp,reps,-reps_partition_entropy,0.25,100000,2,275,33.640499272727254,34.585,39.1566,39.4886,24.7936,6875,215,0,0,4377,215,0,0,3.1272727272727274,0.0,3.1272727272727274,0.0
tornado,1100,m,fpar,fpar,oblivious,,0.25,100000,3,275,28.271660727272753,27.4496,35.7496,37.5736,19.4816,6875,0,0,0,3180,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_dfp_hopnorm_part,reps_dfp,reps,-reps_partition_entropy,0.25,100000,3,275,33.55565054545457,33.5736,38.3325,38.6645,25.9616,6875,176,0,0,4245,176,0,0,2.56,0.0,2.56,0.0
tornado,1100,m,fpar,fpar,oblivious,,0.25,100000,4,275,28.48531818181822,27.4496,37.9056,38.2376,19.4816,6875,0,0,0,3257,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_dfp_hopnorm_part,reps_dfp,reps,-reps_partition_entropy,0.25,100000,4,275,34.00578618181817,33.2536,45.8443,46.5083,22.9496,6875,390,0,0,4426,390,0,0,5.672727272727273,0.0,5.672727272727273,0.0
tornado,1100,m,fpar,fpar,oblivious,,0.25,100000,5,275,28.057039636363687,27.4496,35.5896,35.9096,19.4816,6875,0,0,0,3125,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_dfp_hopnorm_part,reps_dfp,reps,-reps_partition_entropy,0.25,100000,5,275,33.38802472727275,33.9347,37.7926,37.9766,27.6216,6875,138,0,0,4246,138,0,0,2.0072727272727273,0.0,2.0072727272727273,0.0
