load_fraction,config,norm,n_flows,fct_mean,fct_p99,new,rtx,rts,deflected_pct
0.6,hop-norm ON,True,614,2145.1718306188923,3466.45,300860,26124,0,1.1323173337131462
0.6,hop-norm OFF,False,614,2156.6964723127053,3461.87,300860,26120,0,1.1945841191727504
0.65,hop-norm ON,True,666,2318.0199774774783,3780.25,326340,28829,0,1.185441382029318
0.65,hop-norm OFF,False,666,2323.2610675675683,3791.08,326340,28879,0,1.2225725883846663
0.75,hop-norm ON,True,768,2658.0466419270833,4122.65,376320,34086,0,1.260430662157223
0.75,hop-norm OFF,False,768,2648.907923177084,4129.5,376320,34032,0,1.2553936669735293
0.85,hop-norm ON,True,870,2952.6868149425304,4421.65,426300,39481,0,1.4071352117861209
0.85,hop-norm OFF,False,870,2975.158419540231,4418.55,426300,39391,0,1.3729624339703916
0.9,hop-norm ON,True,922,3118.0606409978327,4513.56,451780,42336,0,1.447663375485549
0.9,hop-norm OFF,False,922,3118.21504229935,4518.79,451780,42256,0,1.4037497512789079
