paths,pattern,load,fs,seed,mean,p99,rtx_pct
8,tornado,0.25,2000000,1,196.71703999999983,261.527,0.5387755102040817
8,tornado,0.25,2000000,2,193.54595636363635,253.137,0.6849721706864564
8,tornado,0.25,2000000,3,198.31153090909092,260.688,0.8564007421150278
16,tornado,0.25,2000000,1,186.65755272727262,215.161,0.36437847866419293
16,tornado,0.25,2000000,2,186.93560000000002,208.035,0.4623376623376623
16,tornado,0.25,2000000,3,187.46935999999997,210.457,0.40371057513914654
32,tornado,0.25,2000000,1,182.07374545454536,190.534,0.16846011131725416
32,tornado,0.25,2000000,2,182.32495272727277,191.728,0.2575139146567718
32,tornado,0.25,2000000,3,182.4794109090911,196.3,0.21150278293135436
64,tornado,0.25,2000000,1,181.35919272727273,187.045,0.1306122448979592
64,tornado,0.25,2000000,2,181.5612218181818,188.214,0.2686456400742115
64,tornado,0.25,2000000,3,181.32032363636378,190.614,0.12467532467532468
128,tornado,0.25,2000000,1,181.17409818181827,187.247,0.10834879406307978
128,tornado,0.25,2000000,2,181.5027163636366,188.51,0.21224489795918366
128,tornado,0.25,2000000,3,181.3003018181817,191.287,0.13432282003710574
256,tornado,0.25,2000000,1,181.03808727272732,185.698,0.046753246753246755
256,tornado,0.25,2000000,2,181.18296363636364,186.632,0.1424860853432282
256,tornado,0.25,2000000,3,181.21357454545435,187.701,0.10463821892393321
8,tornado,0.5,2000000,1,251.2795581818181,391.631,2.3053803339517627
8,tornado,0.5,2000000,2,244.7088490909088,383.691,2.2315398886827458
8,tornado,0.5,2000000,3,246.1895327272727,381.805,2.379220779220779
16,tornado,0.5,2000000,1,229.71767818181803,296.525,2.3647495361781075
16,tornado,0.5,2000000,2,228.10852181818203,294.164,2.320964749536178
16,tornado,0.5,2000000,3,226.22875272727254,270.312,2.2912801484230054
32,tornado,0.5,2000000,1,219.14994545454553,242.576,2.305751391465677
32,tornado,0.5,2000000,2,218.296690909091,237.689,2.2801484230055657
32,tornado,0.5,2000000,3,218.49314909090918,241.77,2.2482374768089053
64,tornado,0.5,2000000,1,212.35642181818167,233.963,2.225974025974026
