paths,pattern,load,fs,seed,mean,p99,rtx_pct
8,tornado,0.25,2000000,1,183.06343999999993,203.42,0.042300556586270875
8,tornado,0.25,2000000,2,183.89087272727292,200.094,0.05417439703153989
8,tornado,0.25,2000000,3,183.39250545454533,234.886,0.11873840445269017
16,tornado,0.25,2000000,1,178.75222909090894,190.983,0.0
16,tornado,0.25,2000000,2,179.3891490909091,189.133,0.0
16,tornado,0.25,2000000,3,179.13752363636365,188.417,0.0
32,tornado,0.25,2000000,1,177.9805636363637,184.324,0.0
32,tornado,0.25,2000000,2,178.34358909090918,185.386,0.0
32,tornado,0.25,2000000,3,178.02074545454545,185.154,0.0
64,tornado,0.25,2000000,1,177.87995272727264,186.995,0.0
64,tornado,0.25,2000000,2,178.04449090909117,186.829,0.0
64,tornado,0.25,2000000,3,177.92118545454554,186.06,0.0
128,tornado,0.25,2000000,1,177.78721090909076,184.722,0.0
128,tornado,0.25,2000000,2,177.89012,184.344,0.0
128,tornado,0.25,2000000,3,177.82848363636364,185.709,0.0
256,tornado,0.25,2000000,1,177.74215272727275,182.988,0.0
256,tornado,0.25,2000000,2,177.8322545454545,184.083,0.0
256,tornado,0.25,2000000,3,177.83527272727275,183.325,0.0
8,tornado,0.5,2000000,1,226.19967636363637,362.715,0.6753246753246753
8,tornado,0.5,2000000,2,224.84502363636375,329.637,0.5487940630797774
8,tornado,0.5,2000000,3,226.69496000000004,341.796,0.6879406307977737
16,tornado,0.5,2000000,1,212.17981636363658,253.767,0.26679035250463823
16,tornado,0.5,2000000,2,212.2985345454545,276.616,0.31799628942486086
16,tornado,0.5,2000000,3,212.15457999999995,293.307,0.4504638218923933
32,tornado,0.5,2000000,1,204.063669090909,219.062,0.09350649350649351
32,tornado,0.5,2000000,2,202.94773272727267,219.107,0.08348794063079777
32,tornado,0.5,2000000,3,204.19254727272732,224.853,0.11317254174397032
64,tornado,0.5,2000000,1,198.72708545454546,211.407,0.008534322820037106
64,tornado,0.5,2000000,2,197.80179454545444,214.968,0.004081632653061225
64,tornado,0.5,2000000,3,198.65109636363627,211.166,0.005194805194805195
128,tornado,0.5,2000000,1,196.05911636363652,206.291,0.0
128,tornado,0.5,2000000,2,195.35361272727255,210.667,0.0
128,tornado,0.5,2000000,3,196.33185818181818,207.994,0.0007421150278293135
256,tornado,0.5,2000000,1,195.3689872727274,204.961,0.0
256,tornado,0.5,2000000,2,194.54112545454524,214.049,0.0
256,tornado,0.5,2000000,3,194.00294545454528,204.324,0.0
8,tornado,0.75,2000000,1,288.4840412121216,463.445,1.294495980210266
8,tornado,0.75,2000000,2,284.565198787879,432.104,1.1965367965367966
8,tornado,0.75,2000000,3,284.0881793939393,440.484,1.349165120593692
16,tornado,0.75,2000000,1,275.0049563636361,410.347,0.8188002473716759
16,tornado,0.75,2000000,2,274.5079648484848,402.703,0.8192949907235622
16,tornado,0.75,2000000,3,272.54307272727283,400.568,0.8846011131725418
32,tornado,0.75,2000000,1,267.5586036363636,369.685,0.49424860853432284
32,tornado,0.75,2000000,2,265.7433527272728,375.142,0.4380952380952381
32,tornado,0.75,2000000,3,266.4042206060608,376.011,0.5892393320964749
64,tornado,0.75,2000000,1,262.3426254545452,350.409,0.2810142238713667
64,tornado,0.75,2000000,2,259.9361393939393,349.892,0.26617192331478046
64,tornado,0.75,2000000,3,261.7164812121213,348.212,0.2963512677798392
128,tornado,0.75,2000000,1,258.8624048484851,344.797,0.19616573902288187
128,tornado,0.75,2000000,2,257.030876363636,350.756,0.1264069264069264
128,tornado,0.75,2000000,3,257.8124812121215,331.549,0.17142857142857143
256,tornado,0.75,2000000,1,256.5764884848486,326.473,0.08831168831168831
256,tornado,0.75,2000000,2,254.86669090909106,340.78,0.0930117501546073
256,tornado,0.75,2000000,3,255.6532533333335,336.035,0.0873222016079159
8,tornado,1.0,2000000,1,355.6117336363638,532.668,2.0252319109461965
8,tornado,1.0,2000000,2,356.2892690909089,534.419,1.9476808905380334
8,tornado,1.0,2000000,3,352.81455090909077,550.843,1.9478664192949908
16,tornado,1.0,2000000,1,348.0119718181818,496.551,1.4981447124304268
16,tornado,1.0,2000000,2,348.70993454545464,479.785,1.5155844155844156
16,tornado,1.0,2000000,3,347.4401454545452,493.116,1.4261595547309833
32,tornado,1.0,2000000,1,345.48268909090916,465.452,1.0573283858998144
32,tornado,1.0,2000000,2,343.62037272727264,466.961,1.0335807050092765
32,tornado,1.0,2000000,3,344.35522090909063,469.059,1.0695732838589982
64,tornado,1.0,2000000,1,341.96858727272695,451.652,0.7443413729128014
64,tornado,1.0,2000000,2,343.20103454545495,453.654,0.7311688311688311
64,tornado,1.0,2000000,3,342.77342636363636,448.43,0.7820037105751392
128,tornado,1.0,2000000,1,341.0251527272726,443.476,0.5515769944341373
128,tornado,1.0,2000000,2,340.1632499999999,444.761,0.5423005565862709
128,tornado,1.0,2000000,3,340.0841181818184,437.647,0.5391465677179963
256,tornado,1.0,2000000,1,339.2243318181817,441.848,0.4614100185528757
256,tornado,1.0,2000000,2,339.30494727272753,439.75,0.4410018552875696
256,tornado,1.0,2000000,3,338.3637836363631,428.8,0.4296846011131725
8,permutation,0.6,2000000,1,248.52247424242444,371.85,0.9666048237476809
8,permutation,0.6,2000000,2,246.33917878787858,380.72,0.8970315398886828
8,permutation,0.6,2000000,3,246.08816969696971,381.919,1.0
16,permutation,0.6,2000000,1,235.29429696969729,345.9,0.6948051948051948
16,permutation,0.6,2000000,2,234.04871818181832,325.404,0.5807050092764379
16,permutation,0.6,2000000,3,233.79899999999986,339.639,0.6583178726035869
32,permutation,0.6,2000000,1,227.67014242424247,294.209,0.40630797773654914
32,permutation,0.6,2000000,2,224.93591666666669,283.655,0.20531849103277675
32,permutation,0.6,2000000,3,224.98481363636353,290.923,0.34106369820655535
64,permutation,0.6,2000000,1,221.5417666666666,244.144,0.09802102659245517
64,permutation,0.6,2000000,2,220.39590303030334,257.39,0.14038342609771182
64,permutation,0.6,2000000,3,219.45661515151548,246.282,0.15058750773036486
128,permutation,0.6,2000000,1,217.48923787878806,232.996,0.0655534941249227
128,permutation,0.6,2000000,2,218.02243939393952,242.071,0.07235621521335807
128,permutation,0.6,2000000,3,217.7470545454547,230.396,0.05380333951762523
256,permutation,0.6,2000000,1,215.9123954545454,229.425,0.022263450834879406
256,permutation,0.6,2000000,2,216.2588863636365,243.993,0.02999381570810142
256,permutation,0.6,2000000,3,215.79000909090934,229.175,0.022263450834879406
8,permutation,0.7,2000000,1,272.6968428571428,416.868,1.1796978531672409
8,permutation,0.7,2000000,2,268.8028688311691,422.134,1.0620196130400212
8,permutation,0.7,2000000,3,271.0749844155847,415.407,1.2353564802544394
16,permutation,0.7,2000000,1,259.58643896103894,385.128,0.8139411608799364
16,permutation,0.7,2000000,2,257.36087402597394,363.369,0.8261330506228466
