pattern,nodes,size,strat_label,strat,load_balancing_algo,extra_flags,load_fraction,flowsize,seed,n_flows,fct_mean,fct_p50,fct_p99,fct_max,fct_min,new,rtx,rts,bounced,acks,nacks,pulls,sleek_pkts,rtx_rate_pct,rts_rate_pct,nack_rate_pct,bounced_rate_pct
tornado,1100,m,reps_dfp_no_hopnorm,reps_dfp,reps,-disable_hop_rtt_normalization,0.25,100000,1,275,22.42283854545455,22.3136,24.3278,24.6547,21.1416,6875,0,0,0,2110,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_dfp_hopnorm,reps_dfp,reps,,0.25,100000,1,275,22.42283854545455,22.3136,24.3278,24.6547,21.1416,6875,0,0,0,2110,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_dfp_hopnorm_part,reps_dfp,reps,-reps_partition_entropy,0.25,100000,1,275,33.47637999999999,33.7456,37.6259,38.2899,25.9376,6875,81,0,0,4294,81,0,0,1.1781818181818182,0.0,1.1781818181818182,0.0
tornado,1100,m,reps_dfp_no_hopnorm,reps_dfp,reps,-disable_hop_rtt_normalization,0.25,100000,2,275,22.47380509090909,22.2958,25.157,28.993,21.1456,6875,0,0,0,2113,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_dfp_hopnorm,reps_dfp,reps,,0.25,100000,2,275,22.47380509090909,22.2958,25.157,28.993,21.1456,6875,0,0,0,2113,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_dfp_hopnorm_part,reps_dfp,reps,-reps_partition_entropy,0.25,100000,2,275,33.640499272727254,34.585,39.1566,39.4886,24.7936,6875,215,0,0,4377,215,0,0,3.1272727272727274,0.0,3.1272727272727274,0.0
tornado,1100,m,reps_dfp_no_hopnorm,reps_dfp,reps,-disable_hop_rtt_normalization,0.25,100000,3,275,22.425004000000023,22.3216,24.9907,25.673,21.1416,6875,0,0,0,2109,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_dfp_hopnorm,reps_dfp,reps,,0.25,100000,3,275,22.425004000000023,22.3216,24.9907,25.673,21.1416,6875,0,0,0,2109,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_dfp_hopnorm_part,reps_dfp,reps,-reps_partition_entropy,0.25,100000,3,275,33.55565054545457,33.5736,38.3325,38.6645,25.9616,6875,176,0,0,4245,176,0,0,2.56,0.0,2.56,0.0
tornado,1100,m,reps_dfp_no_hopnorm,reps_dfp,reps,-disable_hop_rtt_normalization,0.25,100000,4,275,22.50730763636364,22.3256,24.8301,25.3267,21.1456,6875,0,0,0,2134,0,0,0,0.0,0.0,0.0,0.0
