pattern,nodes,size,strat_label,strat,load_balancing_algo,extra_flags,load_fraction,flowsize,seed,n_flows,fct_mean,fct_p50,fct_p99,fct_max,fct_min,new,rtx,rts,bounced,acks,nacks,pulls,sleek_pkts,rtx_rate_pct,rts_rate_pct,nack_rate_pct,bounced_rate_pct
permutation,576,m,reps_dfp_no_hopnorm,reps_dfp,reps,-disable_hop_rtt_normalization -reps_partition_entropy,0.2,100000,1,115,25.332901739130428,22.497,37.6106,135.414,19.4816,2875,23,0,0,1119,3,0,0,0.8,0.0,0.10434782608695652,0.0
permutation,576,m,reps_dfp_hopnorm,reps_dfp,reps,-reps_partition_entropy,0.2,100000,1,115,24.98087304347826,22.8374,45.9446,46.2766,19.4816,2875,11,0,0,1137,11,0,0,0.3826086956521739,0.0,0.3826086956521739,0.0
permutation,576,m,reps_dfp_no_hopnorm,reps_dfp,reps,-disable_hop_rtt_normalization -reps_partition_entropy,0.2,100000,2,115,26.015047826086942,21.8261,52.0602,137.046,19.4816,2875,16,0,0,1148,4,0,0,0.5565217391304348,0.0,0.1391304347826087,0.0
permutation,576,m,reps_dfp_hopnorm,reps_dfp,reps,-reps_partition_entropy,0.2,100000,2,115,24.766525217391305,20.6376,51.4184,52.0704,19.4816,2875,4,0,0,1145,4,0,0,0.1391304347826087,0.0,0.1391304347826087,0.0
permutation,576,m,reps_dfp_no_hopnorm,reps_dfp,reps,-disable_hop_rtt_normalization -reps_partition_entropy,0.2,100000,3,115,26.49699130434783,22.5072,44.1677,134.554,19.4816,2875,43,0,0,1235,31,0,0,1.4956521739130435,0.0,1.0782608695652174,0.0
permutation,576,m,reps_dfp_hopnorm,reps_dfp,reps,-reps_partition_entropy,0.2,100000,3,115,27.311612173913044,23.1456,134.258,136.258,19.4816,2875,46,0,0,1219,31,0,0,1.6,0.0,1.0782608695652174,0.0
permutation,576,m,reps_dfp_no_hopnorm,reps_dfp,reps,-disable_hop_rtt_normalization -reps_partition_entropy,0.2,100000,4,115,25.200342608695642,27.1534,43.5882,43.7722,19.4816,2875,2,0,0,1168,2,0,0,0.06956521739130435,0.0,0.06956521739130435,0.0
permutation,576,m,reps_dfp_hopnorm,reps_dfp,reps,-reps_partition_entropy,0.2,100000,4,115,25.216518260869567,27.1534,43.435,43.927,19.4816,2875,1,0,0,1144,1,0,0,0.034782608695652174,0.0,0.034782608695652174,0.0
permutation,576,m,reps_dfp_no_hopnorm,reps_dfp,reps,-disable_hop_rtt_normalization -reps_partition_entropy,0.2,100000,5,115,25.307162608695645,24.9776,36.6026,38.593,19.4816,2875,5,0,0,1186,5,0,0,0.17391304347826086,0.0,0.17391304347826086,0.0
permutation,576,m,reps_dfp_hopnorm,reps_dfp,reps,-reps_partition_entropy,0.2,100000,5,115,26.0839504347826,25.4627,38.421,133.59,19.4816,2875,7,0,0,1143,3,0,0,0.24347826086956523,0.0,0.10434782608695652,0.0
permutation,576,m,reps_dfp_no_hopnorm,reps_dfp,reps,-disable_hop_rtt_normalization -reps_partition_entropy,0.2,100000,6,115,29.102522608695647,27.1949,134.258,135.922,19.4816,2875,21,0,0,1253,5,0,0,0.7304347826086957,0.0,0.17391304347826086,0.0
permutation,576,m,reps_dfp_hopnorm,reps_dfp,reps,-reps_partition_entropy,0.2,100000,6,115,28.13847391304347,27.1534,131.938,134.75,19.4816,2875,15,0,0,1239,4,0,0,0.5217391304347826,0.0,0.1391304347826087,0.0
permutation,576,m,reps_dfp_no_hopnorm,reps_dfp,reps,-disable_hop_rtt_normalization -reps_partition_entropy,0.2,100000,7,115,28.471337391304363,27.1586,131.93,136.254,19.4816,2875,32,0,0,1267,4,0,0,1.1130434782608696,0.0,0.1391304347826087,0.0
permutation,576,m,reps_dfp_hopnorm,reps_dfp,reps,-reps_partition_entropy,0.2,100000,7,115,29.327458260869566,27.1586,134.75,134.879,19.4816,2875,34,0,0,1288,6,0,0,1.182608695652174,0.0,0.20869565217391303,0.0
