pattern,nodes,size,strat_label,strat,load_balancing_algo,extra_flags,load_fraction,flowsize,seed,n_flows,fct_mean,fct_p50,fct_p99,fct_max,fct_min,new,rtx,rts,bounced,acks,nacks,pulls,sleek_pkts,rtx_rate_pct,rts_rate_pct,nack_rate_pct,bounced_rate_pct
tornado,3600,m,reps_dfp_no_hopnorm,reps_dfp,reps,-disable_hop_rtt_normalization -reps_partition_entropy,0.1,100000,1,360,34.758391388888874,27.4906,135.922,141.058,19.4816,9000,854,0,0,4954,667,0,0,9.488888888888889,0.0,7.411111111111111,0.0
tornado,3600,m,reps_dfp_hopnorm,reps_dfp,reps,-reps_partition_entropy,0.1,100000,1,360,34.275693055555564,27.5162,135.414,262.082,19.4816,9000,850,1,0,4953,672,0,0,9.444444444444445,0.011111111111111112,7.466666666666667,0.0
tornado,3600,m,reps_dfp_no_hopnorm,reps_dfp,reps,-disable_hop_rtt_normalization -reps_partition_entropy,0.1,100000,2,360,35.61756777777777,27.7816,137.271,249.195,19.4816,9000,627,0,0,5059,409,0,0,6.966666666666667,0.0,4.544444444444444,0.0
tornado,3600,m,reps_dfp_hopnorm,reps_dfp,reps,-reps_partition_entropy,0.1,100000,2,360,35.601475277777766,27.9139,137.159,139.264,19.4816,9000,594,0,0,5059,406,0,0,6.6,0.0,4.511111111111111,0.0
tornado,3600,m,reps_dfp_no_hopnorm,reps_dfp,reps,-disable_hop_rtt_normalization -reps_partition_entropy,0.1,100000,3,360,34.16299750000001,27.6989,134.93,248.999,19.4816,9000,617,0,0,5067,469,0,0,6.855555555555555,0.0,5.211111111111111,0.0
tornado,3600,m,reps_dfp_hopnorm,reps_dfp,reps,-reps_partition_entropy,0.1,100000,3,360,34.530224722222215,27.7091,136.258,357.155,19.4816,9000,630,1,0,5062,472,0,0,7.0,0.011111111111111112,5.2444444444444445,0.0
tornado,3600,m,reps_dfp_no_hopnorm,reps_dfp,reps,-disable_hop_rtt_normalization -reps_partition_entropy,0.1,100000,4,360,36.00603083333334,27.5115,136.746,824.474,19.4816,9000,795,0,0,5049,629,0,0,8.833333333333334,0.0,6.988888888888889,0.0
tornado,3600,m,reps_dfp_hopnorm,reps_dfp,reps,-reps_partition_entropy,0.1,100000,4,360,34.005336666666665,27.4906,140.062,251.854,19.4816,9000,793,1,0,5050,627,0,0,8.811111111111112,0.011111111111111112,6.966666666666667,0.0
tornado,3600,m,reps_dfp_no_hopnorm,reps_dfp,reps,-disable_hop_rtt_normalization -reps_partition_entropy,0.1,100000,5,360,33.54369416666666,27.5162,134.263,254.528,19.4816,9000,489,0,0,5006,383,0,0,5.433333333333334,0.0,4.2555555555555555,0.0
tornado,3600,m,reps_dfp_hopnorm,reps_dfp,reps,-reps_partition_entropy,0.1,100000,5,359,33.26756796657382,27.5213,133.922,137.918,19.4816,9000,1411,1,0,5049,387,0,0,15.677777777777777,0.011111111111111112,4.3,0.0
tornado,3600,m,reps_dfp_no_hopnorm,reps_dfp,reps,-disable_hop_rtt_normalization -reps_partition_entropy,0.1,100000,6,360,35.15811277777776,28.0258,136.586,248.682,19.4816,9000,761,0,0,5185,609,0,0,8.455555555555556,0.0,6.766666666666667,0.0
