pattern,nodes,size,strat_label,strat,load_balancing_algo,extra_flags,load_fraction,flowsize,seed,n_flows,duration_us,fct_mean,fct_p50,fct_p99,fct_max,fct_min,new,rtx,rts,bounced,acks,nacks,pulls,sleek_pkts,rtx_rate_pct,rts_rate_pct,nack_rate_pct,bounced_rate_pct
tornado,1100,l,fpar_tuned,fpar,oblivious,-threshold 20750 -disable_hop_rtt_normalization,0.25,100000,1,275,37.5576,26.373498545454563,25.473,36.7336,37.5576,23.6496,6875,0,0,0,2157,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,l,reps_no_partition,reps_dfp,reps,,0.25,100000,1,275,28.485,24.72794290909088,24.489,27.821,28.485,23.8096,6875,0,0,0,2103,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,l,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.5 -reps_warmup_explore_rtts 0.5 -reps_explore_prob 70,0.25,100000,1,275,27.821,24.64611563636362,24.4787,27.489,27.821,23.6496,6875,0,0,0,2120,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,l,fpar_tuned,fpar,oblivious,-threshold 20750 -disable_hop_rtt_normalization,0.25,100000,2,275,32.9216,26.318916000000026,25.6296,32.7496,32.9216,23.4707,6875,0,0,0,2130,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,l,reps_no_partition,reps_dfp,reps,,0.25,100000,2,275,31.9256,24.96436727272727,24.4872,29.629,31.9256,23.7976,6875,0,0,0,2119,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,l,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.5 -reps_warmup_explore_rtts 0.5 -reps_explore_prob 70,0.25,100000,2,275,30.9416,24.80392145454544,24.4838,28.817,30.9416,23.6616,6875,0,0,0,2123,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,l,fpar_tuned,fpar,oblivious,-threshold 20750 -disable_hop_rtt_normalization,0.25,100000,3,275,34.4216,26.505908000000005,25.6467,33.9176,34.4216,23.6227,6875,0,0,0,2176,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,l,reps_no_partition,reps_dfp,reps,,0.25,100000,3,275,31.9256,24.82757163636362,24.4923,31.3094,31.9256,23.8096,6875,0,0,0,2132,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,l,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.5 -reps_warmup_explore_rtts 0.5 -reps_explore_prob 70,0.25,100000,3,275,31.6107,24.783886545454525,24.4838,31.3026,31.6107,23.6496,6875,0,0,0,2135,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,l,fpar_tuned,fpar,oblivious,-threshold 20750 -disable_hop_rtt_normalization,0.25,100000,4,275,31.7776,26.009900363636362,25.4627,31.6176,31.7776,23.7976,6875,0,0,0,2128,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,l,reps_no_partition,reps_dfp,reps,,0.25,100000,4,275,28.141,24.67741236363634,24.477,27.8363,28.141,23.8096,6875,0,0,0,2098,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,l,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.5 -reps_warmup_explore_rtts 0.5 -reps_explore_prob 70,0.25,100000,4,275,28.829,24.718253818181793,24.4821,27.821,28.829,23.7976,6875,0,0,0,2119,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,l,fpar_tuned,fpar,oblivious,-threshold 20750 -disable_hop_rtt_normalization,0.25,100000,5,275,35.8976,26.25797963636364,25.4747,35.0856,35.8976,23.7976,6875,0,0,0,2152,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,l,reps_no_partition,reps_dfp,reps,,0.25,100000,5,275,28.153,24.672971636363613,24.4838,27.5061,28.153,23.8078,6875,0,0,0,2110,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,l,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.5 -reps_warmup_explore_rtts 0.5 -reps_explore_prob 70,0.25,100000,5,275,28.141,24.673038909090888,24.4838,27.833,28.141,23.4776,6875,0,0,0,2103,0,0,0,0.0,0.0,0.0,0.0
