pattern,nodes,size,strat_label,strat,load_balancing_algo,load_fraction,flowsize,seed,n_flows,fct_mean,fct_p50,fct_p99,fct_max,fct_min,new,rtx,rts,bounced,acks,nacks,pulls,sleek_pkts,rtx_rate_pct,rts_rate_pct,nack_rate_pct,bounced_rate_pct
tornado,1024,m,fpar,fpar,oblivious,0.25,20000,1,256,23.14886953125,15.864,244.546,585.682,12.9792,1280,50,0,0,580,0,0,0,3.90625,0.0,0.0,0.0
tornado,1024,m,reps_dfp,reps_dfp,reps,0.25,20000,1,256,24.072996874999987,16.1616,131.575,244.546,12.9792,1280,65,0,0,593,0,0,0,5.078125,0.0,0.0,0.0
tornado,1024,m,fpar,fpar,oblivious,0.25,20000,2,256,28.918212500000003,16.1616,700.95,814.882,12.9792,1280,65,0,0,585,0,0,0,5.078125,0.0,0.0,0.0
tornado,1024,m,reps_dfp,reps_dfp,reps,0.25,20000,2,256,21.025945312499992,16.8944,128.614,242.179,12.9792,1280,35,0,0,575,0,0,0,2.734375,0.0,0.0,0.0
tornado,1024,m,fpar,fpar,oblivious,0.25,20000,3,256,17.328359375,15.864,22.664,242.223,12.9792,1280,8,0,0,571,0,0,0,0.625,0.0,0.0,0.0
tornado,1024,m,reps_dfp,reps_dfp,reps,0.25,20000,3,256,21.084923828124985,16.9288,131.278,355.818,12.9792,1280,35,0,0,602,0,0,0,2.734375,0.0,0.0,0.0
tornado,1024,m,fpar,fpar,oblivious,0.25,20000,4,256,30.556917578124995,16.1616,472.082,1962.21,12.9792,1280,73,0,0,577,0,0,0,5.703125,0.0,0.0,0.0
tornado,1024,m,reps_dfp,reps_dfp,reps,0.25,20000,4,256,21.13384999999999,16.1616,129.946,131.278,12.9792,1280,30,0,0,590,0,0,0,2.34375,0.0,0.0,0.0
tornado,1024,m,fpar,fpar,oblivious,0.25,20000,5,256,23.2715171875,15.864,243.184,700.95,12.9792,1280,46,0,0,573,0,0,0,3.59375,0.0,0.0,0.0
tornado,1024,m,reps_dfp,reps_dfp,reps,0.25,20000,5,256,20.141994140624977,16.8944,128.174,128.614,12.9792,1280,27,0,0,594,0,0,0,2.109375,0.0,0.0,0.0
tornado,1024,m,fpar,fpar,oblivious,0.25,100000,1,256,53.897589062499996,35.3987,480.685,932.47,19.4816,6400,996,0,0,4173,769,0,0,15.5625,0.0,12.015625,0.0
tornado,1024,m,reps_dfp,reps_dfp,reps,0.25,100000,1,256,44.99022343750001,35.5776,137.911,250.2,19.4816,6400,887,0,0,4311,688,0,0,13.859375,0.0,10.75,0.0
tornado,1024,m,fpar,fpar,oblivious,0.25,100000,2,256,143.86272265624999,35.5776,4723.79,8955.95,19.4816,6400,1538,10,0,4611,1029,0,0,24.03125,0.15625,16.078125,0.0
tornado,1024,m,reps_dfp,reps_dfp,reps,0.25,100000,2,256,43.485214062500035,35.4227,138.25,254.235,19.4816,6400,762,1,0,4431,609,0,0,11.90625,0.015625,9.515625,0.0
tornado,1024,m,fpar,fpar,oblivious,0.25,100000,3,256,43.613595312500024,35.4227,164.807,376.104,19.4816,6400,1001,0,0,4364,930,0,0,15.640625,0.0,14.53125,0.0
tornado,1024,m,reps_dfp,reps_dfp,reps,0.25,100000,3,256,45.93031640625,36.2416,137.591,149.994,19.4816,6400,1161,0,0,4498,1066,0,0,18.140625,0.0,16.65625,0.0
tornado,1024,m,fpar,fpar,oblivious,0.25,100000,4,256,64.11462421875,35.3987,593.654,3301.29,19.4816,6400,1163,8,0,4231,914,0,0,18.171875,0.125,14.28125,0.0
tornado,1024,m,reps_dfp,reps_dfp,reps,0.25,100000,4,256,44.27671953125001,35.4227,137.586,249.522,19.4816,6400,773,1,0,4197,653,0,0,12.078125,0.015625,10.203125,0.0
tornado,1024,m,fpar,fpar,oblivious,0.25,100000,5,256,56.45175234375002,35.3987,703.798,1988.94,19.4816,6400,991,2,0,4281,748,0,0,15.484375,0.03125,11.6875,0.0
tornado,1024,m,reps_dfp,reps_dfp,reps,0.25,100000,5,256,46.87281601562501,35.5776,140.234,147.764,19.4816,6400,1204,0,0,4411,1063,0,0,18.8125,0.0,16.609375,0.0
tornado,1024,m,fpar,fpar,oblivious,0.25,500000,1,256,209.51453749999993,138.617,1206.73,13134.5,51.9834,31488,5734,29,0,25113,4939,0,0,18.210111788617887,0.09209857723577236,15.685340447154472,0.0
tornado,1024,m,reps_dfp,reps_dfp,reps,0.25,500000,1,256,144.985776171875,135.423,341.914,448.207,51.9834,31488,5663,22,0,27323,5100,0,0,17.98462906504065,0.06986788617886179,16.196646341463413,0.0
tornado,1024,m,fpar,fpar,oblivious,0.25,500000,2,256,551.02311953125,153.551,9626.53,41164.5,51.9834,31488,7987,185,0,26603,5602,0,0,25.365218495934958,0.587525406504065,17.790904471544714,0.0
tornado,1024,m,reps_dfp,reps_dfp,reps,0.25,500000,2,256,143.4224546874999,138.521,298.725,331.566,51.9834,31488,5760,20,0,27079,5376,0,0,18.29268292682927,0.06351626016260163,17.073170731707318,0.0
tornado,1024,m,fpar,fpar,oblivious,0.25,500000,3,256,150.44069882812497,146.765,338.133,806.614,51.9834,31488,5796,7,0,26105,5553,0,0,18.40701219512195,0.02223069105691057,17.635289634146343,0.0
tornado,1024,m,reps_dfp,reps_dfp,reps,0.25,500000,3,256,148.94090390624996,138.21,297.165,313.308,51.9834,31488,5790,15,0,26805,5584,0,0,18.38795731707317,0.04763719512195122,17.733739837398375,0.0
tornado,1024,m,fpar,fpar,oblivious,0.25,500000,4,256,338.67269531249997,139.195,1568.62,27998.4,52.1291,31488,6183,76,0,26110,5021,0,0,19.636051829268293,0.24136178861788618,15.945757113821138,0.0
tornado,1024,m,reps_dfp,reps_dfp,reps,0.25,500000,4,256,143.80692265624995,133.783,421.367,425.351,51.9834,31488,5571,16,0,27131,5256,0,0,17.692454268292682,0.0508130081300813,16.692073170731707,0.0
tornado,1024,m,fpar,fpar,oblivious,0.25,500000,5,256,285.813876953125,134.879,985.146,22094.7,52.3154,31488,6087,84,0,26560,5129,0,0,19.331173780487806,0.26676829268292684,16.288744918699187,0.0
tornado,1024,m,reps_dfp,reps_dfp,reps,0.25,500000,5,256,150.56268906250006,138.636,373.913,382.132,51.9834,31488,5786,14,0,26646,5485,0,0,18.37525406504065,0.04446138211382114,17.419334349593495,0.0
tornado,1024,m,fpar,fpar,oblivious,0.25,2000000,1,256,1259.9128554687502,488.132,29360.6,72357.2,174.194,125440,10399,877,0,100402,5000,0,0,8.290019132653061,0.6991390306122449,3.985969387755102,0.0
tornado,1024,m,reps_dfp,reps_dfp,reps,0.25,2000000,1,256,505.25955078124997,488.802,1462.17,1490.02,173.862,125440,5652,69,0,102981,5186,0,0,4.505739795918367,0.055006377551020405,4.1342474489795915,0.0
tornado,1024,m,fpar,fpar,oblivious,0.25,2000000,2,256,1970.5606679687498,519.274,83902.0,95813.9,173.862,125440,21787,2184,0,107096,5630,0,0,17.36846301020408,1.7410714285714286,4.488201530612245,0.0
tornado,1024,m,reps_dfp,reps_dfp,reps,0.25,2000000,2,256,517.3112343750001,497.936,1103.37,2499.21,173.862,125440,5825,40,0,102507,5461,0,0,4.643654336734694,0.03188775510204082,4.353475765306122,0.0
tornado,1024,m,fpar,fpar,oblivious,0.25,2000000,3,256,536.0922500000004,501.835,1183.91,3345.19,173.862,125440,6113,84,0,102485,5578,0,0,4.873246173469388,0.06696428571428571,4.4467474489795915,0.0
tornado,1024,m,reps_dfp,reps_dfp,reps,0.25,2000000,3,256,541.4875664062506,499.228,1148.89,1174.31,173.862,125440,5895,59,0,102660,5655,0,0,4.699457908163265,0.0470344387755102,4.50813137755102,0.0
tornado,1024,m,fpar,fpar,oblivious,0.25,2000000,4,255,656.8533999999997,480.673,1751.28,23355.4,174.858,125266,10617,723,0,102480,5079,0,0,8.475563999808408,0.5771717784554468,4.054571871058387,0.0
tornado,1024,m,reps_dfp,reps_dfp,reps,0.25,2000000,4,256,510.0746718749999,478.685,1598.19,1665.52,173.862,125440,5635,74,0,101151,5233,0,0,4.4921875,0.05899234693877551,4.17171556122449,0.0
tornado,1024,m,fpar,fpar,oblivious,0.25,2000000,5,256,999.8216249999998,489.123,5137.77,75513.7,175.19,125440,8739,518,0,105367,5190,0,0,6.966677295918367,0.41294642857142855,4.137436224489796,0.0
tornado,1024,m,reps_dfp,reps_dfp,reps,0.25,2000000,5,256,542.7682109374996,499.238,1419.09,1498.17,173.862,125440,5821,40,0,100151,5524,0,0,4.64046556122449,0.03188775510204082,4.403698979591836,0.0
tornado,1024,m,fpar,fpar,oblivious,0.25,10000000,1,251,2905.0898764940234,2372.37,14629.5,74612.1,824.219,625145,26586,4054,0,530707,6713,0,0,4.252773356581273,0.6484895504243016,1.0738308712378728,0.0
tornado,1024,m,reps_dfp,reps_dfp,reps,0.25,10000000,1,256,2378.8770937500008,2310.41,6439.34,6528.51,823.887,626688,5728,68,0,542344,5177,0,0,0.9140114379084967,0.010850694444444444,0.8260888991013072,0.0
tornado,1024,m,fpar,fpar,oblivious,0.25,10000000,2,251,3145.024494023904,2465.52,7334.86,99121.3,825.563,621462,33150,3793,0,537684,5809,0,0,5.334195815673364,0.6103349842790066,0.9347313270964275,0.0
tornado,1024,m,reps_dfp,reps_dfp,reps,0.25,10000000,2,256,2394.98120703125,2386.52,5547.88,5726.55,823.887,626688,5854,48,0,530212,5400,0,0,0.9341171364379085,0.007659313725490196,0.8616727941176471,0.0
tornado,1024,m,fpar,fpar,oblivious,0.25,10000000,3,256,2536.5216523437493,2449.54,5709.15,7189.45,823.887,626688,6646,344,0,537768,5582,0,0,1.0604958129084967,0.05489174836601307,0.8907143586601307,0.0
tornado,1024,m,reps_dfp,reps_dfp,reps,0.25,10000000,3,256,2586.0765468750014,2420.01,5655.59,5767.13,823.887,626688,5973,54,0,537657,5706,0,0,0.9531058517156863,0.008616727941176471,0.9105009191176471,0.0
tornado,1024,m,fpar,fpar,oblivious,0.25,10000000,4,254,2884.8752716535437,2315.06,5717.1,81608.2,824.224,623954,19177,2957,0,533664,5164,0,0,3.0734637489302097,0.47391314103283255,0.8276251133897691,0.0
