pattern,nodes,size,strat_label,strat,load_balancing_algo,extra_flags,load_fraction,flowsize,seed,n_flows,fct_mean,fct_p50,fct_p99,fct_max,fct_min,new,rtx,rts,bounced,acks,nacks,pulls,sleek_pkts,rtx_rate_pct,rts_rate_pct,nack_rate_pct,bounced_rate_pct
tornado,3600,l,fpar,fpar,oblivious,,0.25,100000,1,900,133.82492000000008,133.088,228.287,250.12,27.2896,22500,33182,0,0,22279,33182,0,0,147.47555555555556,0.0,147.47555555555556,0.0
tornado,3600,l,reps_dfp_hopnorm_part,reps_dfp,reps,-reps_partition_entropy,0.25,100000,1,900,135.31969977777766,134.236,217.061,235.642,56.7696,22500,33751,0,0,22494,33751,0,0,150.00444444444443,0.0,150.00444444444443,0.0
tornado,3600,l,fpar,fpar,oblivious,,0.25,100000,2,900,135.94437033333332,133.97,228.803,257.123,30.6096,22500,32592,0,0,22265,32592,0,0,144.85333333333332,0.0,144.85333333333332,0.0
tornado,3600,l,reps_dfp_hopnorm_part,reps_dfp,reps,-reps_partition_entropy,0.25,100000,2,900,137.07662655555552,134.89,228.858,253.117,43.8678,22500,33253,0,0,22478,33253,0,0,147.79111111111112,0.0,147.79111111111112,0.0
tornado,3600,l,fpar,fpar,oblivious,,0.25,100000,3,900,133.29484144444436,134.415,221.567,243.782,26.1336,22500,33030,0,0,22231,33030,0,0,146.8,0.0,146.8,0.0
tornado,3600,l,reps_dfp_hopnorm_part,reps_dfp,reps,-reps_partition_entropy,0.25,100000,3,900,135.3565858888889,134.84,217.581,260.749,27.8778,22500,33765,0,0,22470,33765,0,0,150.06666666666666,0.0,150.06666666666666,0.0
tornado,3600,l,fpar,fpar,oblivious,,0.25,100000,4,900,133.60736844444443,135.133,221.788,239.238,27.6158,22500,32896,0,0,22212,32896,0,0,146.20444444444445,0.0,146.20444444444445,0.0
tornado,3600,l,reps_dfp_hopnorm_part,reps_dfp,reps,-reps_partition_entropy,0.25,100000,4,900,136.65474300000002,135.898,224.705,236.875,27.5851,22500,33688,0,0,22472,33688,0,0,149.72444444444446,0.0,149.72444444444446,0.0
tornado,3600,l,fpar,fpar,oblivious,,0.25,100000,5,900,131.92860366666687,132.476,213.812,244.865,27.2998,22500,33186,0,0,22267,33186,0,0,147.49333333333334,0.0,147.49333333333334,0.0
tornado,3600,l,reps_dfp_hopnorm_part,reps_dfp,reps,-reps_partition_entropy,0.25,100000,5,900,133.91991000000002,132.26,217.353,235.743,43.2341,22500,33830,0,0,22477,33830,0,0,150.35555555555555,0.0,150.35555555555555,0.0
tornado,3600,l,fpar,fpar,oblivious,,0.25,500000,1,900,620.050834,630.712,905.601,954.749,59.7294,110700,41350,0,0,105660,41350,0,0,37.35320686540199,0.0,37.35320686540199,0.0
tornado,3600,l,reps_dfp_hopnorm_part,reps_dfp,reps,-reps_partition_entropy,0.25,500000,1,900,633.6958911111105,640.716,913.454,940.577,190.429,110700,42023,0,0,106459,42023,0,0,37.961156278229446,0.0,37.961156278229446,0.0
tornado,3600,l,fpar,fpar,oblivious,,0.25,500000,2,900,637.5040146666666,647.085,986.721,1047.64,61.7888,110700,41338,0,0,105667,41338,0,0,37.3423667570009,0.0,37.3423667570009,0.0
tornado,3600,l,reps_dfp_hopnorm_part,reps_dfp,reps,-reps_partition_entropy,0.25,500000,2,900,645.7896955555555,643.479,997.422,1048.59,194.249,110700,42029,0,0,106379,42029,0,0,37.96657633242999,0.0,37.96657633242999,0.0
tornado,3600,l,fpar,fpar,oblivious,,0.25,500000,3,900,620.2408418888893,644.112,969.648,1001.9,60.9474,110700,41126,0,0,105062,41126,0,0,37.150858175248416,0.0,37.150858175248416,0.0
tornado,3600,l,reps_dfp_hopnorm_part,reps_dfp,reps,-reps_partition_entropy,0.25,500000,3,900,637.0400000000004,648.423,942.403,1010.58,122.932,110700,41935,0,0,106520,41935,0,0,37.881662149954835,0.0,37.881662149954835,0.0
tornado,3600,l,fpar,fpar,oblivious,,0.25,500000,4,900,622.9374726666656,644.509,960.245,1034.27,65.553,110700,41286,0,0,105117,41286,0,0,37.295392953929536,0.0,37.295392953929536,0.0
tornado,3600,l,reps_dfp_hopnorm_part,reps_dfp,reps,-reps_partition_entropy,0.25,500000,4,900,640.7724577777782,655.531,956.471,1014.21,121.649,110700,42067,0,0,106112,42067,0,0,38.000903342366755,0.0,38.000903342366755,0.0
tornado,3600,l,fpar,fpar,oblivious,,0.25,500000,5,900,615.5460985555552,629.047,917.055,988.979,65.2754,110700,41362,0,0,105529,41362,0,0,37.36404697380307,0.0,37.36404697380307,0.0
tornado,3600,l,reps_dfp_hopnorm_part,reps_dfp,reps,-reps_partition_entropy,0.25,500000,5,900,628.1175933333333,638.031,909.393,965.889,190.003,110700,42016,0,0,106385,42016,0,0,37.95483288166215,0.0,37.95483288166215,0.0
tornado,3600,l,fpar,fpar,oblivious,,0.25,2000000,1,900,2433.8520722222224,2446.67,3570.32,3638.45,181.964,441000,41358,0,0,425446,41358,0,0,9.378231292517007,0.0,9.378231292517007,0.0
tornado,3600,l,reps_dfp_hopnorm_part,reps_dfp,reps,-reps_partition_entropy,0.25,2000000,1,900,2462.2768855555546,2447.24,3573.6,3606.98,798.306,441000,42042,0,0,427396,42042,0,0,9.533333333333333,0.0,9.533333333333333,0.0
tornado,3600,l,fpar,fpar,oblivious,,0.25,2000000,2,900,2491.877307777781,2467.79,3979.8,4110.21,191.819,441000,41412,0,0,426013,41412,0,0,9.39047619047619,0.0,9.39047619047619,0.0
tornado,3600,l,reps_dfp_hopnorm_part,reps_dfp,reps,-reps_partition_entropy,0.25,2000000,2,900,2516.9736955555563,2475.74,3968.82,4107.06,691.013,441000,42050,0,0,427429,42050,0,0,9.535147392290249,0.0,9.535147392290249,0.0
tornado,3600,l,fpar,fpar,oblivious,,0.25,2000000,3,900,2430.922154444445,2452.51,3741.73,3935.93,184.576,441000,41130,0,0,425705,41130,0,0,9.326530612244898,0.0,9.326530612244898,0.0
tornado,3600,l,reps_dfp_hopnorm_part,reps_dfp,reps,-reps_partition_entropy,0.25,2000000,3,900,2471.668135555556,2476.34,3696.89,3932.43,470.978,441000,41937,0,0,427580,41937,0,0,9.50952380952381,0.0,9.50952380952381,0.0
tornado,3600,l,fpar,fpar,oblivious,,0.25,2000000,4,900,2436.6475022222207,2478.93,3760.74,3936.34,207.898,441000,41395,0,0,424793,41395,0,0,9.386621315192743,0.0,9.386621315192743,0.0
tornado,3600,l,reps_dfp_hopnorm_part,reps_dfp,reps,-reps_partition_entropy,0.25,2000000,4,900,2495.2742511111123,2506.37,3840.58,3930.69,435.072,441000,42081,0,0,427442,42081,0,0,9.5421768707483,0.0,9.5421768707483,0.0
tornado,3600,l,fpar,fpar,oblivious,,0.25,2000000,5,900,2417.4665955555533,2448.12,3588.84,3778.98,208.909,441000,41391,0,0,426275,41391,0,0,9.385714285714286,0.0,9.385714285714286,0.0
tornado,3600,l,reps_dfp_hopnorm_part,reps_dfp,reps,-reps_partition_entropy,0.25,2000000,5,900,2444.8891122222217,2446.26,3638.96,3769.16,689.99,441000,42015,0,0,427859,42015,0,0,9.52721088435374,0.0,9.52721088435374,0.0
tornado,3600,l,fpar,fpar,oblivious,,0.25,10000000,1,900,12417.112721111116,12685.5,17819.6,17931.4,878.651,2203200,41388,0,0,2164686,41388,0,0,1.8785403050108933,0.0,1.8785403050108933,0.0
tornado,3600,l,reps_dfp_hopnorm_part,reps_dfp,reps,-reps_partition_entropy,0.25,10000000,1,900,12585.606222222208,12646.7,17791.9,17927.9,3285.36,2203200,42052,0,0,2176622,42052,0,0,1.9086782861292666,0.0,1.9086782861292666,0.0
tornado,3600,l,fpar,fpar,oblivious,,0.25,10000000,2,900,12755.256466666671,12705.4,20076.0,20353.5,917.8,2203200,41515,0,0,2166374,41515,0,0,1.88430464778504,0.0,1.88430464778504,0.0
tornado,3600,l,reps_dfp_hopnorm_part,reps_dfp,reps,-reps_partition_entropy,0.25,10000000,2,900,12929.588100000019,12818.8,20080.0,20386.9,2788.62,2203200,42128,0,0,2175396,42128,0,0,1.9121278140885984,0.0,1.9121278140885984,0.0
tornado,3600,l,fpar,fpar,oblivious,,0.25,10000000,3,900,12478.784141111113,12721.5,19091.3,19547.4,847.987,2203200,41195,0,0,2163670,41195,0,0,1.8697803195352214,0.0,1.8697803195352214,0.0
