pattern,nodes,size,strat_label,strat,load_balancing_algo,extra_flags,load_fraction,flowsize,seed,n_flows,fct_mean,fct_p50,fct_p99,fct_max,fct_min,new,rtx,rts,bounced,acks,nacks,pulls,sleek_pkts,rtx_rate_pct,rts_rate_pct,nack_rate_pct,bounced_rate_pct
tornado,3600,m,fpar,fpar,oblivious,,0.25,100000,1,900,319.5972081111111,50.8538,6009.1,54601.3,19.4918,22500,12289,67,0,18837,8736,0,0,54.617777777777775,0.29777777777777775,38.82666666666667,0.0
tornado,3600,m,reps_dfp_hopnorm_part,reps_dfp,reps,-reps_partition_entropy,0.25,100000,1,900,59.06007999999997,50.0779,146.951,3683.53,19.4867,22500,10298,5,0,19059,9621,0,0,45.76888888888889,0.022222222222222223,42.76,0.0
tornado,3600,m,fpar,fpar,oblivious,,0.25,100000,2,900,148.62736233333334,44.6277,1748.78,24669.9,19.4918,22500,9759,43,0,18729,7902,0,0,43.373333333333335,0.19111111111111112,35.12,0.0
tornado,3600,m,reps_dfp_hopnorm_part,reps_dfp,reps,-reps_partition_entropy,0.25,100000,2,900,53.515024555555534,48.3258,158.749,361.13,19.4867,22500,9715,4,0,18851,9134,0,0,43.17777777777778,0.017777777777777778,40.595555555555556,0.0
tornado,3600,m,fpar,fpar,oblivious,,0.25,100000,3,900,202.19028999999995,47.1954,1163.67,51724.4,19.4816,22500,9956,28,0,18514,7586,0,0,44.24888888888889,0.12444444444444444,33.715555555555554,0.0
tornado,3600,m,reps_dfp_hopnorm_part,reps_dfp,reps,-reps_partition_entropy,0.25,100000,3,900,53.939161333333324,50.0618,140.238,1276.95,19.4816,22500,9767,3,0,19267,9397,0,0,43.40888888888889,0.013333333333333334,41.76444444444444,0.0
tornado,3600,m,fpar,fpar,oblivious,,0.25,100000,4,900,163.82968111111106,44.521,2245.28,28199.3,19.4816,22500,9839,29,0,18858,8150,0,0,43.72888888888889,0.1288888888888889,36.22222222222222,0.0
tornado,3600,m,reps_dfp_hopnorm_part,reps_dfp,reps,-reps_partition_entropy,0.25,100000,4,900,53.211130666666676,49.0878,138.773,1051.05,19.4867,22500,9028,3,0,19092,8546,0,0,40.12444444444444,0.013333333333333334,37.98222222222222,0.0
tornado,3600,m,fpar,fpar,oblivious,,0.25,100000,5,900,167.407173,44.7877,1427.97,36920.2,19.4918,22500,9704,17,0,18726,7884,0,0,43.12888888888889,0.07555555555555556,35.04,0.0
tornado,3600,m,reps_dfp_hopnorm_part,reps_dfp,reps,-reps_partition_entropy,0.25,100000,5,900,51.855104888888874,48.8485,147.41,340.641,19.4918,22500,8958,1,0,19073,8536,0,0,39.81333333333333,0.0044444444444444444,37.937777777777775,0.0
tornado,3600,m,fpar,fpar,oblivious,,0.25,500000,1,900,1164.929824111111,182.137,51966.3,84387.2,52.517,110700,42012,1166,0,97579,25465,0,0,37.951219512195124,1.053297199638663,23.00361336946703,0.0
tornado,3600,m,reps_dfp_hopnorm_part,reps_dfp,reps,-reps_partition_entropy,0.25,500000,1,900,199.24877133333308,180.306,453.884,918.498,52.1165,110700,28252,42,0,98404,26827,0,0,25.52122854561879,0.037940379403794036,24.233965672990063,0.0
