pattern,nodes,size,strat_label,strat,load_balancing_algo,extra_flags,load_fraction,flowsize,seed,n_flows,fct_mean,fct_p50,fct_p99,fct_max,fct_min,new,rtx,rts,bounced,acks,nacks,pulls,sleek_pkts,rtx_rate_pct,rts_rate_pct,nack_rate_pct,bounced_rate_pct
permutation,1100,m,reps_dfp_no_hopnorm,reps_dfp,reps,-disable_hop_rtt_normalization,0.2,100000,1,220,35.871371363636364,27.4496,138.759,265.75,19.4816,5500,223,1,0,2499,8,0,0,4.054545454545455,0.01818181818181818,0.14545454545454545,0.0
permutation,1100,m,reps_dfp_hopnorm,reps_dfp,reps,,0.2,100000,1,220,32.13684499999999,27.4496,134.082,137.406,19.4816,5500,157,0,0,2505,8,0,0,2.8545454545454545,0.0,0.14545454545454545,0.0
permutation,1100,m,reps_dfp_no_hopnorm,reps_dfp,reps,-disable_hop_rtt_normalization,0.2,100000,2,220,31.273654545454537,27.4437,135.259,136.874,19.4816,5500,111,0,0,2497,34,0,0,2.018181818181818,0.0,0.6181818181818182,0.0
permutation,1100,m,reps_dfp_hopnorm,reps_dfp,reps,,0.2,100000,2,220,34.01355318181817,27.4496,136.41,249.527,19.4816,5500,130,0,0,2494,33,0,0,2.3636363636363638,0.0,0.6,0.0
permutation,1100,m,reps_dfp_no_hopnorm,reps_dfp,reps,-disable_hop_rtt_normalization,0.2,100000,3,220,31.953395909090894,27.4496,138.269,138.757,19.4816,5500,169,0,0,2453,33,0,0,3.0727272727272728,0.0,0.6,0.0
permutation,1100,m,reps_dfp_hopnorm,reps_dfp,reps,,0.2,100000,3,220,45.273279090909085,27.4496,136.591,2731.44,19.4816,5500,295,2,0,2471,33,0,0,5.363636363636363,0.03636363636363636,0.6,0.0
permutation,1100,m,reps_dfp_no_hopnorm,reps_dfp,reps,-disable_hop_rtt_normalization,0.2,100000,4,220,33.57504318181817,27.4854,137.586,142.741,19.4816,5500,308,0,0,2691,170,0,0,5.6,0.0,3.090909090909091,0.0
permutation,1100,m,reps_dfp_hopnorm,reps_dfp,reps,,0.2,100000,4,220,33.10305545454545,27.4854,136.254,137.254,19.4816,5500,269,0,0,2653,169,0,0,4.890909090909091,0.0,3.0727272727272728,0.0
permutation,1100,m,reps_dfp_no_hopnorm,reps_dfp,reps,-disable_hop_rtt_normalization,0.2,100000,5,220,34.19191954545456,27.4547,137.097,143.684,19.4816,5500,174,0,0,2546,40,0,0,3.1636363636363636,0.0,0.7272727272727273,0.0
permutation,1100,m,reps_dfp_hopnorm,reps_dfp,reps,,0.2,100000,5,220,32.11516363636365,27.4854,134.082,135.252,19.4816,5500,134,0,0,2554,66,0,0,2.4363636363636365,0.0,1.2,0.0
permutation,1100,m,reps_dfp_no_hopnorm,reps_dfp,reps,-disable_hop_rtt_normalization,0.2,500000,1,220,99.0702086363636,92.7258,330.137,566.752,51.9834,27060,2309,8,0,19070,1964,0,0,8.53288987435329,0.029563932002956393,7.257945306725794,0.0
permutation,1100,m,reps_dfp_hopnorm,reps_dfp,reps,,0.2,500000,1,220,95.07177954545458,92.7206,272.321,284.476,51.9834,27060,2293,7,0,19043,2050,0,0,8.473762010347377,0.025868440502586843,7.575757575757576,0.0
permutation,1100,m,reps_dfp_no_hopnorm,reps_dfp,reps,-disable_hop_rtt_normalization,0.2,500000,2,220,96.69505727272721,92.7206,225.349,316.451,51.9834,27060,2338,4,0,18831,2179,0,0,8.640059127864006,0.014781966001478197,8.052475979305248,0.0
permutation,1100,m,reps_dfp_hopnorm,reps_dfp,reps,,0.2,500000,2,220,97.3282609090909,92.7206,254.532,285.697,51.9834,27060,2393,4,0,18608,2168,0,0,8.843311160384332,0.014781966001478197,8.011825572801182,0.0
