pattern,nodes,size,strat_label,strat,load_balancing_algo,extra_flags,load_fraction,flowsize,seed,duration_s,n_flows,fct_mean,fct_p50,fct_p99,fct_max,fct_min,new,rtx,rts,bounced,acks,nacks,pulls,sleek_pkts,rtx_rate_pct,rts_rate_pct,nack_rate_pct,bounced_rate_pct
tornado,1100,m,fpar_tq3,fpar,oblivious,-target_q_delay 3,0.25,500000,1,5.34,275,155.99939709090913,149.096,315.994,321.479,51.9834,33825,5681,0,0,24230,5581,0,0,16.79526977087953,0.0,16.499630450849963,0.0
tornado,1100,m,fpar_tq6,fpar,oblivious,-target_q_delay 6,0.25,500000,1,4.26,275,147.60461490909094,139.211,301.376,343.052,51.9834,33825,5925,0,0,26525,5803,0,0,17.516629711751662,0.0,17.155949741315595,0.0
tornado,1100,m,fpar_tq12,fpar,oblivious,-target_q_delay 12,0.25,500000,1,3.96,275,145.00306581818185,133.622,297.19,322.605,51.9834,33825,6087,0,0,28904,5974,0,0,17.995565410199557,0.0,17.661492978566148,0.0
tornado,1100,m,fpar_tq24,fpar,oblivious,-target_q_delay 24,0.25,500000,1,3.97,275,144.6885050909091,133.848,300.391,311.871,51.9834,33825,6158,0,0,28783,6037,0,0,18.20546932742055,0.0,17.847745750184774,0.0
tornado,1100,m,reps_dfp_best,reps_dfp,reps,-reps_partition_entropy,0.25,500000,1,1.04,275,139.73396909090903,135.08,331.844,347.765,51.9834,33825,6346,0,0,29876,6346,0,0,18.761271249076128,0.0,18.761271249076128,0.0
tornado,1100,m,fpar_tq1,fpar,oblivious,-target_q_delay 1,0.25,500000,2,2.11,275,159.07290872727276,157.924,309.291,394.798,51.9834,33825,5487,1,0,22917,5457,0,0,16.221729490022174,0.0029563932002956393,16.133037694013304,0.0
tornado,1100,m,fpar_tq3,fpar,oblivious,-target_q_delay 3,0.25,500000,2,1.85,275,155.39582509090897,157.571,309.806,311.798,51.9834,33825,5978,1,0,24475,5939,0,0,17.67331855136733,0.0029563932002956393,17.558019216555802,0.0
tornado,1100,m,fpar_tq6,fpar,oblivious,-target_q_delay 6,0.25,500000,2,2.35,275,146.88027490909093,143.969,295.497,317.624,51.9834,33825,6287,0,0,27052,6245,0,0,18.586844050258684,0.0,18.462675535846266,0.0
tornado,1100,m,fpar_tq12,fpar,oblivious,-target_q_delay 12,0.25,500000,2,1.96,275,143.29403781818186,135.538,294.273,300.315,51.9834,33825,6422,0,0,29895,6381,0,0,18.985957132298594,0.0,18.864745011086473,0.0
tornado,1100,m,fpar_tq24,fpar,oblivious,-target_q_delay 24,0.25,500000,2,3.38,275,142.5754530909091,133.833,275.366,303.369,51.9834,33825,6501,0,0,29819,6459,0,0,19.21951219512195,0.0,19.095343680709533,0.0
