pattern,nodes,size,strat_label,strat,load_balancing_algo,extra_flags,load_fraction,flowsize,seed,n_flows,fct_mean,fct_p50,fct_p99,fct_max,fct_min,new,rtx,rts,bounced,acks,nacks,pulls,sleek_pkts,rtx_rate_pct,rts_rate_pct,nack_rate_pct,bounced_rate_pct
permutation,1100,m,fpar,fpar,oblivious,,0.6,100000,1,660,76.1513546969697,36.5326,704.934,6941.28,19.4816,16500,2657,6,0,11997,2060,0,0,16.1030303030303,0.03636363636363636,12.484848484848484,0.0
permutation,1100,m,reps_dfp_no_hopnorm,reps_dfp,reps,-disable_hop_rtt_normalization,0.6,100000,1,660,49.03847060606062,43.5669,140.47,363.852,19.4816,16500,3407,0,0,12600,3158,0,0,20.64848484848485,0.0,19.13939393939394,0.0
permutation,1100,m,reps_dfp_hopnorm,reps_dfp,reps,,0.6,100000,1,660,47.429626818181795,43.3314,136.582,247.994,19.5013,16500,3373,0,0,12629,3190,0,0,20.44242424242424,0.0,19.333333333333332,0.0
permutation,1100,m,reps_dfp_hopnorm_part,reps_dfp,reps,-reps_partition_entropy,0.6,100000,1,660,42.16197499999999,37.4157,135.897,153.97,19.4816,16500,2070,0,0,12274,1988,0,0,12.545454545454545,0.0,12.048484848484849,0.0
permutation,1100,m,fpar,fpar,oblivious,,0.6,100000,2,660,48.2649804545454,38.2954,260.099,949.847,19.4816,16500,2569,3,0,12244,2419,0,0,15.56969696969697,0.01818181818181818,14.66060606060606,0.0
permutation,1100,m,reps_dfp_no_hopnorm,reps_dfp,reps,-disable_hop_rtt_normalization,0.6,100000,2,660,44.42187984848483,40.8374,134.559,147.044,19.4867,16500,2754,1,0,12537,2681,0,0,16.69090909090909,0.006060606060606061,16.24848484848485,0.0
permutation,1100,m,reps_dfp_hopnorm,reps_dfp,reps,,0.6,100000,2,660,43.767401515151526,39.2787,102.764,146.633,19.5218,16500,2739,0,0,12496,2695,0,0,16.6,0.0,16.333333333333332,0.0
permutation,1100,m,reps_dfp_hopnorm_part,reps_dfp,reps,-reps_partition_entropy,0.6,100000,2,660,42.70763727272726,38.5643,93.1678,136.591,19.4816,16500,2533,0,0,12359,2480,0,0,15.351515151515152,0.0,15.030303030303031,0.0
permutation,1100,m,fpar,fpar,oblivious,,0.6,100000,3,660,46.70739378787881,36.385,249.001,935.798,19.4816,16500,2265,0,0,12048,2102,0,0,13.727272727272727,0.0,12.73939393939394,0.0
permutation,1100,m,reps_dfp_no_hopnorm,reps_dfp,reps,-disable_hop_rtt_normalization,0.6,100000,3,660,45.034651818181814,43.6654,135.586,149.844,19.4816,16500,3043,1,0,12743,2949,0,0,18.44242424242424,0.006060606060606061,17.87272727272727,0.0
permutation,1100,m,reps_dfp_hopnorm,reps_dfp,reps,,0.6,100000,3,660,44.88472257575758,43.6603,135.73,156.422,19.4816,16500,3035,1,0,12734,2940,0,0,18.393939393939394,0.006060606060606061,17.818181818181817,0.0
permutation,1100,m,reps_dfp_hopnorm_part,reps_dfp,reps,-reps_partition_entropy,0.6,100000,3,660,43.08100121212121,37.4301,135.259,248.522,19.5166,16500,2340,0,0,12312,2178,0,0,14.181818181818182,0.0,13.2,0.0
permutation,1100,m,fpar,fpar,oblivious,,0.6,500000,1,659,415.85649271623663,158.715,1690.1,54099.7,52.5414,81177,21617,494,0,70128,15952,0,0,26.62946401074196,0.6085467558544908,19.650886334799267,0.0
permutation,1100,m,reps_dfp_no_hopnorm,reps_dfp,reps,-disable_hop_rtt_normalization,0.6,500000,1,660,176.0800645454546,171.314,400.538,509.1,51.9834,81180,18688,44,0,70942,17914,0,0,23.020448386302046,0.05420054200542006,22.0670115792067,0.0
permutation,1100,m,reps_dfp_hopnorm,reps_dfp,reps,,0.6,500000,1,660,175.23141227272737,167.519,400.971,557.94,51.9834,81180,18577,36,0,71026,17830,0,0,22.883715200788373,0.04434589800443459,21.963537817196354,0.0
permutation,1100,m,reps_dfp_hopnorm_part,reps_dfp,reps,-reps_partition_entropy,0.6,500000,1,660,158.14641030303025,157.948,327.729,462.627,51.9834,81180,17470,8,0,71391,17237,0,0,21.520078837152006,0.009854644000985464,21.233062330623305,0.0
permutation,1100,m,fpar,fpar,oblivious,,0.6,500000,2,660,286.6368751515149,166.065,623.021,25072.5,51.9834,81180,19055,224,0,70415,16877,0,0,23.472530179847254,0.27593003202759303,20.78960335057896,0.0
permutation,1100,m,reps_dfp_no_hopnorm,reps_dfp,reps,-disable_hop_rtt_normalization,0.6,500000,2,660,168.6823624242423,166.45,372.053,396.48,52.1157,81180,17926,13,0,72772,17678,0,0,22.08179354520818,0.01601379650160138,21.77629958117763,0.0
permutation,1100,m,reps_dfp_hopnorm,reps_dfp,reps,,0.6,500000,2,660,168.40219151515157,161.831,365.832,416.649,52.7042,81180,17994,7,0,72736,17717,0,0,22.165558019216554,0.008622813500862282,21.824340970682435,0.0
permutation,1100,m,reps_dfp_hopnorm_part,reps_dfp,reps,-reps_partition_entropy,0.6,500000,2,660,163.4434696969696,160.324,339.31,396.264,51.9898,81180,17828,10,0,71254,17601,0,0,21.96107415619611,0.01231830500123183,21.681448632668143,0.0
permutation,1100,m,fpar,fpar,oblivious,,0.6,500000,3,660,172.98777469696978,158.886,334.247,3925.37,52.2803,81180,16890,51,0,70258,16159,0,0,20.80561714708056,0.06282335550628233,19.905149051490515,0.0
permutation,1100,m,reps_dfp_no_hopnorm,reps_dfp,reps,-disable_hop_rtt_normalization,0.6,500000,3,660,172.0448857575758,171.713,358.297,401.779,51.9834,81180,18299,7,0,71518,18049,0,0,22.541266321754126,0.008622813500862282,22.23330869672333,0.0
permutation,1100,m,reps_dfp_hopnorm,reps_dfp,reps,,0.6,500000,3,660,171.0876713636364,170.238,369.217,420.552,51.9834,81180,18259,7,0,71607,18010,0,0,22.4919931017492,0.008622813500862282,22.185267307218528,0.0
permutation,1100,m,reps_dfp_hopnorm_part,reps_dfp,reps,-reps_partition_entropy,0.6,500000,3,660,161.63266651515167,157.234,326.229,358.504,52.1165,81180,17683,14,0,72509,17307,0,0,21.782458733678247,0.017245627001724564,21.31929046563193,0.0
permutation,1100,m,fpar,fpar,oblivious,,0.6,2000000,1,660,1229.6709787878785,525.194,12919.7,90549.0,175.4,323400,34759,2679,0,275312,16065,0,0,10.747990105132962,0.8283858998144712,4.967532467532467,0.0
permutation,1100,m,reps_dfp_no_hopnorm,reps_dfp,reps,-disable_hop_rtt_normalization,0.6,2000000,1,660,642.2137181818175,595.185,1715.53,1864.47,173.862,323400,18546,17,0,275259,18259,0,0,5.73469387755102,0.005256648113790971,5.645949288806432,0.0
permutation,1100,m,reps_dfp_hopnorm,reps_dfp,reps,,0.6,2000000,1,660,634.1219545454544,573.662,1758.07,1837.8,173.862,323400,18661,79,0,275275,17852,0,0,5.770253555967842,0.02442795299938157,5.520098948670377,0.0
permutation,1100,m,reps_dfp_hopnorm_part,reps_dfp,reps,-reps_partition_entropy,0.6,2000000,1,660,580.204056060606,567.41,1177.85,1363.55,173.862,323400,17551,18,0,277840,17218,0,0,5.4270253555967845,0.0055658627087198514,5.324056895485467,0.0
permutation,1100,m,fpar,fpar,oblivious,,0.6,2000000,2,660,785.7884757575753,566.007,1288.3,57678.9,174.149,323400,20894,813,0,275856,16961,0,0,6.4607297464440325,0.25139146567717996,5.244588744588745,0.0
permutation,1100,m,reps_dfp_no_hopnorm,reps_dfp,reps,-disable_hop_rtt_normalization,0.6,2000000,2,660,618.2376606060603,586.11,1451.07,1516.88,174.188,323400,17999,19,0,278548,17707,0,0,5.565553494124923,0.005875077303648732,5.475262832405689,0.0
permutation,1100,m,reps_dfp_hopnorm,reps_dfp,reps,,0.6,2000000,2,660,617.7323560606061,578.132,1452.98,1523.6,174.4,323400,17991,12,0,278360,17698,0,0,5.563079777365492,0.0037105751391465678,5.472479901051329,0.0
permutation,1100,m,reps_dfp_hopnorm_part,reps_dfp,reps,-reps_partition_entropy,0.6,2000000,2,660,600.2026227272731,558.187,1215.31,1499.4,173.881,323400,17764,17,0,280438,17522,0,0,5.492888064316635,0.005256648113790971,5.418058132343846,0.0
permutation,1100,m,fpar,fpar,oblivious,,0.6,2000000,3,660,757.5122212121215,527.883,1182.77,39221.8,174.448,323400,19771,749,0,275744,16270,0,0,6.113481756338899,0.23160173160173161,5.030921459492888,0.0
permutation,1100,m,reps_dfp_no_hopnorm,reps_dfp,reps,-disable_hop_rtt_normalization,0.6,2000000,3,660,625.8606151515148,626.213,1426.03,1515.63,173.862,323400,18369,15,0,273810,17976,0,0,5.679962894248608,0.00463821892393321,5.558441558441558,0.0
permutation,1100,m,reps_dfp_hopnorm,reps_dfp,reps,,0.6,2000000,3,660,621.541048484848,618.388,1420.19,1519.99,173.862,323400,18248,5,0,276106,17977,0,0,5.642547928262214,0.0015460729746444033,5.558750773036487,0.0
permutation,1100,m,reps_dfp_hopnorm_part,reps_dfp,reps,-reps_partition_entropy,0.6,2000000,3,660,584.0444924242424,541.318,1263.63,1352.49,174.467,323400,17664,33,0,278670,17160,0,0,5.461966604823748,0.01020408163265306,5.3061224489795915,0.0
permutation,1100,m,reps_dfp_no_hopnorm,reps_dfp,reps,-disable_hop_rtt_normalization,0.6,10000000,1,660,3143.821246969698,2931.33,8208.55,9060.21,823.887,1615680,18773,23,0,1437461,18515,0,0,1.1619256288373936,0.0014235492176668646,1.1459571202218262,0.0
permutation,1100,m,reps_dfp_hopnorm,reps_dfp,reps,,0.6,10000000,1,660,3040.555971212121,2628.67,8315.63,9073.24,823.887,1615680,18801,60,0,1434235,17979,0,0,1.1636586452762923,0.0037136066547831252,1.1127822341057636,0.0
permutation,1100,m,reps_dfp_hopnorm_part,reps_dfp,reps,-reps_partition_entropy,0.6,10000000,1,660,2812.3221818181846,2656.08,5808.49,6619.26,824.067,1615680,17548,26,0,1442257,17234,0,0,1.0861061596355714,0.0016092295504060209,1.0666716181422065,0.0
permutation,1100,m,fpar,fpar,oblivious,,0.6,10000000,2,654,3047.170692660555,2603.12,6506.48,97350.8,824.219,1612114,43262,6494,0,1441399,19267,0,0,2.6835571181690625,0.4028251103830126,1.1951388053202192,0.0
permutation,1100,m,reps_dfp_no_hopnorm,reps_dfp,reps,-disable_hop_rtt_normalization,0.6,10000000,2,660,3042.5979681818167,2892.27,7203.0,7450.66,823.977,1615680,18054,14,0,1447474,17759,0,0,1.1174242424242424,0.0008665082194493959,1.0991656763715587,0.0
permutation,1100,m,reps_dfp_hopnorm,reps_dfp,reps,,0.6,10000000,2,660,3020.2386636363644,2913.44,7156.9,7442.59,824.415,1615680,18167,22,0,1455239,17888,0,0,1.124418201624084,0.0013616557734204794,1.1071499306793424,0.0
permutation,1100,m,reps_dfp_hopnorm_part,reps_dfp,reps,-reps_partition_entropy,0.6,10000000,2,660,2940.0170590909083,2656.76,6700.23,7416.47,824.136,1615680,17780,19,0,1454051,17525,0,0,1.1004654387007329,0.0011759754406813231,1.0846826104179046,0.0
permutation,1100,m,fpar,fpar,oblivious,,0.6,10000000,3,658,3031.560714285715,2522.78,5757.78,94112.8,825.156,1615069,36992,6185,0,1441332,17940,0,0,2.2904284584745294,0.3829557746449223,1.1107884554777536,0.0
permutation,1100,m,reps_dfp_no_hopnorm,reps_dfp,reps,-disable_hop_rtt_normalization,0.6,10000000,3,660,3008.5349363636365,3002.23,7049.46,7431.49,823.935,1615680,18346,67,0,1426155,17655,0,0,1.135497128144187,0.004146860764507823,1.0927287581699345,0.0
permutation,1100,m,reps_dfp_hopnorm,reps_dfp,reps,,0.6,10000000,3,660,3006.533850000003,2968.84,7149.31,7410.66,823.887,1615680,18518,12,0,1441306,18237,0,0,1.1461428005545653,0.0007427213309566251,1.128750742721331,0.0
permutation,1100,m,reps_dfp_hopnorm_part,reps_dfp,reps,-reps_partition_entropy,0.6,10000000,3,660,2820.3208045454535,2530.6,6352.01,6582.13,825.882,1615680,17802,43,0,1446708,17008,0,0,1.1018270944741533,0.002661418102594573,1.0526836997425233,0.0
permutation,1100,m,fpar,fpar,oblivious,,0.7,100000,1,770,74.31207207792208,43.6893,362.79,6984.16,19.4918,19250,4169,32,0,14944,3543,0,0,21.65714285714286,0.16623376623376623,18.405194805194807,0.0
permutation,1100,m,reps_dfp_no_hopnorm,reps_dfp,reps,-disable_hop_rtt_normalization,0.7,100000,1,770,50.73782493506492,44.5048,136.351,274.558,19.7155,19250,4973,2,0,15768,4774,0,0,25.833766233766234,0.01038961038961039,24.8,0.0
permutation,1100,m,reps_dfp_hopnorm,reps_dfp,reps,,0.7,100000,1,770,51.01613402597398,44.5926,137.383,247.526,19.7206,19250,5008,0,0,15718,4818,0,0,26.015584415584417,0.0,25.02857142857143,0.0
permutation,1100,m,reps_dfp_hopnorm_part,reps_dfp,reps,-reps_partition_entropy,0.7,100000,1,770,53.1136615584416,44.1317,136.738,3960.66,19.6848,19250,4416,0,0,15401,4177,0,0,22.94025974025974,0.0,21.698701298701298,0.0
permutation,1100,m,fpar,fpar,oblivious,,0.7,100000,2,770,84.4752857142857,44.1165,269.469,10688.2,19.5371,19250,4200,21,0,15004,3518,0,0,21.818181818181817,0.10909090909090909,18.275324675324676,0.0
permutation,1100,m,reps_dfp_no_hopnorm,reps_dfp,reps,-disable_hop_rtt_normalization,0.7,100000,2,770,49.66372727272729,44.1728,139.935,706.394,19.7155,19250,4276,2,0,15559,4027,0,0,22.212987012987014,0.01038961038961039,20.91948051948052,0.0
permutation,1100,m,reps_dfp_hopnorm,reps_dfp,reps,,0.7,100000,2,770,48.99223896103893,44.1925,137.754,248.682,19.4867,19250,4246,0,0,15434,4013,0,0,22.057142857142857,0.0,20.846753246753245,0.0
