pattern,nodes,size,strat_label,strat,load_balancing_algo,load_fraction,seed,n_flows,fct_mean,fct_p50,fct_p99,fct_max,fct_min,new,rtx,rts,bounced,acks,nacks,pulls,sleek_pkts,rtx_rate_pct,rts_rate_pct,nack_rate_pct,bounced_rate_pct
permutation,512,m,fpar,fpar,oblivious,0.6,1,307,1127.7993257328992,794.376,6445.6,46220.7,182.187,150430,12575,645,0,129108,9250,0,0,8.359369806554543,0.4287708568769527,6.149039420328392,0.0
permutation,512,m,reps_dfp,reps_dfp,reps,0.6,1,307,797.1668664495113,751.607,1583.24,1686.87,173.91,150430,10681,25,0,133243,10451,0,0,7.100312437678655,0.016619025460347006,6.947417403443462,0.0
permutation,512,m,fpar,fpar,oblivious,0.6,2,307,926.043794788274,745.634,1649.97,29003.0,194.153,150430,11450,484,0,131221,9309,0,0,7.611513660838928,0.321744332912318,6.188260320414811,0.0
permutation,512,m,reps_dfp,reps_dfp,reps,0.6,2,307,807.1878045602602,793.567,1410.04,1504.88,175.92,150430,10645,12,0,134669,10461,0,0,7.076381041015755,0.007977132220966562,6.954065013627601,0.0
permutation,512,m,fpar,fpar,oblivious,0.6,3,307,1160.0870162866454,786.608,14428.7,54621.8,180.043,150430,12680,587,0,130880,9181,0,0,8.429169713488001,0.3902147178089477,6.103170910057834,0.0
permutation,512,m,reps_dfp,reps_dfp,reps,0.6,3,307,818.3579250814331,772.384,1631.22,1702.47,177.925,150430,10719,10,0,134103,10552,0,0,7.125573356378382,0.006647610184138802,7.014558266303264,0.0
permutation,512,m,fpar,fpar,oblivious,0.6,4,307,959.4087622149841,758.858,3891.24,25213.7,178.846,150430,11726,585,0,130445,9191,0,0,7.794987701921159,0.38888519577211994,6.109818520241973,0.0
permutation,512,m,reps_dfp,reps_dfp,reps,0.6,4,307,863.8961596091209,808.08,1929.49,2009.33,314.029,150430,10842,0,0,135251,10787,0,0,7.2073389616432895,0.0,7.170777105630526,0.0
permutation,512,m,fpar,fpar,oblivious,0.6,5,307,1628.6563127035824,778.081,29693.5,91701.4,178.492,150430,15974,1032,0,131876,9159,0,0,10.618892508143322,0.6860333710031243,6.088546167652729,0.0
permutation,512,m,reps_dfp,reps_dfp,reps,0.6,5,307,820.779846905538,794.254,1474.19,1507.36,178.034,150430,10632,34,0,134916,10384,0,0,7.067739147776375,0.022601874626071928,6.902878415209732,0.0
permutation,512,m,fpar,fpar,oblivious,0.7,1,358,1215.1755000000005,879.434,20730.8,36786.0,180.875,175420,15260,814,0,153727,11561,0,0,8.699122106943337,0.46402918709383195,6.590468589670505,0.0
permutation,512,m,reps_dfp,reps_dfp,reps,0.7,1,358,911.2200307262559,846.106,1783.15,1838.53,174.892,175420,13344,37,0,157401,13017,0,0,7.606886329950975,0.02109223577699236,7.420476570516475,0.0
permutation,512,m,fpar,fpar,oblivious,0.7,2,358,1071.9574664804475,842.526,9480.32,28318.5,206.585,175420,14523,549,0,153762,11548,0,0,8.278987572682704,0.31296317409645424,6.583057804127238,0.0
permutation,512,m,reps_dfp,reps_dfp,reps,0.7,2,358,934.4267877094978,916.972,1805.23,1993.19,176.814,175420,13215,35,0,158329,12934,0,0,7.533348534944704,0.019952114924181964,7.3731615551248435,0.0
permutation,512,m,fpar,fpar,oblivious,0.7,3,358,1099.6585083798886,868.165,8611.92,30155.9,179.781,175420,14224,609,0,153658,11463,0,0,8.108539505187549,0.34716679968076614,6.534602667882796,0.0
permutation,512,m,reps_dfp,reps_dfp,reps,0.7,3,358,942.0280083798883,902.659,1812.78,1851.32,177.488,175420,13288,22,0,157326,13088,0,0,7.574962946072284,0.012541329380914377,7.460950860791244,0.0
permutation,512,m,fpar,fpar,oblivious,0.7,4,358,1092.4149050279334,862.882,6224.96,28392.9,182.839,175420,14484,629,0,155548,11530,0,0,8.256755216052902,0.35856800820887014,6.572796716451944,0.0
permutation,512,m,reps_dfp,reps_dfp,reps,0.7,4,358,1002.948790502793,928.764,2556.16,2680.36,175.663,175420,13449,3,0,159549,13347,0,0,7.666742674723521,0.001710181279215597,7.60859651123019,0.0
permutation,512,m,fpar,fpar,oblivious,0.7,5,358,1318.6532458100562,864.417,14018.3,75984.8,205.543,175420,15658,818,0,152804,11020,0,0,8.926006156652605,0.46630942879945275,6.282065898985293,0.0
permutation,512,m,reps_dfp,reps_dfp,reps,0.7,5,358,928.4972932960897,925.651,1648.83,1682.14,311.594,175420,13125,18,0,159522,12890,0,0,7.482043096568236,0.010261087675293582,7.348078896363014,0.0
permutation,512,m,fpar,fpar,oblivious,0.8,1,410,1351.7602975609757,982.269,15114.6,41626.5,192.004,200900,18529,1034,0,177583,13649,0,0,9.222996515679442,0.5146839223494276,6.793927327028372,0.0
permutation,512,m,reps_dfp,reps_dfp,reps,0.8,1,410,1008.506595121951,993.318,1764.65,1860.32,245.715,200900,15820,26,0,182944,15397,0,0,7.874564459930314,0.012941762070681932,7.664011946241911,0.0
permutation,512,m,fpar,fpar,oblivious,0.8,2,410,1224.4617121951217,957.066,9397.02,58470.4,215.284,200900,17771,840,0,176430,13718,0,0,8.8456943753111,0.4181184668989547,6.828272772523643,0.0
permutation,512,m,reps_dfp,reps_dfp,reps,0.8,2,410,1040.8280536585364,1018.13,1893.48,2001.61,333.053,200900,15897,13,0,183933,15646,0,0,7.912891986062718,0.006470881035340966,7.787954206072673,0.0
permutation,512,m,fpar,fpar,oblivious,0.8,3,410,1185.2437560975613,997.098,4112.39,49511.9,184.234,200900,17333,890,0,178236,13659,0,0,8.627675460428074,0.44300647088103534,6.798904927824789,0.0
permutation,512,m,reps_dfp,reps_dfp,reps,0.8,3,410,1058.9267999999993,1057.07,1892.04,2071.49,177.003,200900,15911,12,0,184565,15732,0,0,7.919860627177701,0.005973120955699353,7.830761572921852,0.0
permutation,512,m,fpar,fpar,oblivious,0.8,4,410,1442.56014390244,1018.14,11077.1,60884.1,183.603,200900,19349,1022,0,179006,13852,0,0,9.631159780985564,0.5087108013937283,6.89497262319562,0.0
permutation,512,m,reps_dfp,reps_dfp,reps,0.8,4,410,1088.9128146341463,1026.57,2522.75,2661.94,175.065,200900,15978,9,0,183887,15852,0,0,7.9532105525136885,0.004479840716774514,7.890492782478845,0.0
permutation,512,m,fpar,fpar,oblivious,0.8,5,410,1334.3260902439026,1003.76,2671.99,51038.4,208.792,200900,17969,830,0,176846,13766,0,0,8.94425087108014,0.4131408661025386,6.852165256346441,0.0
permutation,512,m,reps_dfp,reps_dfp,reps,0.8,5,410,1049.0277414634152,1060.22,1789.19,1868.15,279.936,200900,15819,37,0,184146,15466,0,0,7.874066699850672,0.01841712294673967,7.698357391737183,0.0
permutation,512,m,fpar,fpar,oblivious,0.9,1,461,1316.6045401301517,1123.02,7278.88,35667.2,267.555,225890,20078,1055,0,201673,15925,0,0,8.888397007392978,0.4670414803665501,7.049891540130152,0.0
permutation,512,m,reps_dfp,reps_dfp,reps,0.9,1,461,1130.8908004338393,1112.93,1847.19,1879.42,241.458,225890,18435,42,0,207212,18051,0,0,8.161051839390854,0.018593120545398203,7.9910575944043565,0.0
permutation,512,m,fpar,fpar,oblivious,0.9,2,461,1266.619323210412,1085.11,9195.28,29283.9,218.4,225890,19588,871,0,200993,15981,0,0,8.671477267696666,0.38558590464385323,7.074682367524016,0.0
permutation,512,m,reps_dfp,reps_dfp,reps,0.9,2,461,1143.0552212581333,1154.09,2266.1,3159.23,335.906,225890,18503,31,0,207224,18123,0,0,8.191154986940546,0.01372349373588915,8.022931515339325,0.0
permutation,512,m,fpar,fpar,oblivious,0.9,3,461,1628.6856268980475,1128.21,23327.6,50849.3,202.744,225890,22540,1383,0,202768,16132,0,0,9.97830802603037,0.6122448979591837,7.141529062818186,0.0
permutation,512,m,reps_dfp,reps_dfp,reps,0.9,3,461,1181.5835791757063,1155.39,2242.4,2351.28,178.762,225890,18546,16,0,208649,18365,0,0,8.210190800832263,0.007083093541104077,8.130063305148523,0.0
permutation,512,m,fpar,fpar,oblivious,0.9,4,461,1224.8904251626898,1133.24,2168.81,17997.2,231.579,225890,18932,706,0,203445,16294,0,0,8.381070432511398,0.3125415025012174,7.213245384921865,0.0
permutation,512,m,reps_dfp,reps_dfp,reps,0.9,4,461,1206.1697375271156,1136.91,2569.95,2675.48,176.027,225890,18568,11,0,207252,18396,0,0,8.219930054451282,0.004869626809509053,8.143786798884413,0.0
permutation,512,m,fpar,fpar,oblivious,0.9,5,461,1550.3889869848158,1120.52,28208.7,47324.0,240.448,225890,21716,1330,0,202116,16080,0,0,9.613528708663509,0.5887821506042764,7.118509008809598,0.0
permutation,512,m,reps_dfp,reps_dfp,reps,0.9,5,461,1170.6067917570504,1143.03,1992.28,2019.4,315.837,225890,18463,56,0,208191,18007,0,0,8.173447253087787,0.02479082739386427,7.97157908716632,0.0
