pattern,nodes,size,strat_label,strat,load_balancing_algo,load_fraction,flowsize,seed,n_flows,fct_mean,fct_p50,fct_p99,fct_max,fct_min,new,rtx,rts,bounced,acks,nacks,pulls,sleek_pkts,rtx_rate_pct,rts_rate_pct,nack_rate_pct,bounced_rate_pct
tornado,1100,m,fpar,fpar,oblivious,0.25,500000,1,275,528.215761090909,141.469,19752.1,51074.8,52.265,33825,8387,278,0,28359,5813,0,0,24.79526977087953,0.8218773096821878,17.18551367331855,0.0
tornado,1100,m,reps_dfp,reps_dfp,reps,0.25,500000,1,275,147.35110909090915,138.086,296.676,309.598,51.9834,33825,6275,14,0,30145,5857,0,0,18.551367331855136,0.04138950480413895,17.31559497413156,0.0
tornado,1100,m,fpar,fpar,oblivious,0.25,2000000,1,275,1547.4843163636363,496.253,52997.5,82686.0,173.862,134750,14306,1125,0,113009,5823,0,0,10.61669758812616,0.8348794063079777,4.321335807050093,0.0
tornado,1100,m,reps_dfp,reps_dfp,reps,0.25,2000000,1,275,510.75137818181804,495.873,940.134,1324.73,173.862,134750,6296,60,0,112884,5927,0,0,4.672356215213358,0.04452690166975881,4.398515769944342,0.0
tornado,1100,m,fpar,fpar,oblivious,0.25,10000000,1,272,3318.3400808823535,2439.22,40613.1,91656.6,825.434,667679,24120,3297,0,576782,6629,0,0,3.612514396888325,0.49380016445028224,0.9928423688628817,0.0
tornado,1100,m,reps_dfp,reps_dfp,reps,0.25,10000000,1,275,2440.353632727273,2378.55,4820.99,7156.43,823.887,673200,6411,70,0,594544,5865,0,0,0.9523172905525846,0.010398098633392751,0.8712121212121212,0.0
tornado,1100,m,fpar,fpar,oblivious,0.5,500000,1,550,661.3428256363635,208.316,13567.7,75777.1,53.3626,67650,23476,569,0,59605,16798,0,0,34.702143385070215,0.8410938654841094,24.830746489283076,0.0
tornado,1100,m,reps_dfp,reps_dfp,reps,0.5,500000,1,550,223.82517927272738,213.171,391.141,585.263,52.6402,67650,19336,47,0,60816,18491,0,0,28.58240946045824,0.06947524020694752,27.333333333333332,0.0
tornado,1100,m,fpar,fpar,oblivious,0.5,2000000,1,550,1772.9974800000002,801.691,46643.8,98501.0,178.526,269500,31193,2043,0,239493,17005,0,0,11.574397031539888,0.7580705009276438,6.309833024118738,0.0
tornado,1100,m,reps_dfp,reps_dfp,reps,0.5,2000000,1,550,838.3840709090912,802.801,1494.59,1924.32,175.288,269500,19401,127,0,243003,18475,0,0,7.198886827458256,0.04712430426716141,6.855287569573284,0.0
tornado,1100,m,reps_dfp,reps_dfp,reps,0.5,10000000,1,550,4106.886365454549,3959.13,7332.69,7414.65,827.973,1346400,19564,98,0,1258289,18699,0,0,1.4530600118835413,0.007278669043374926,1.3888146167557933,0.0
tornado,1100,m,fpar,fpar,oblivious,0.75,500000,1,825,590.1860403636363,292.018,6181.64,75092.4,63.1859,101475,36442,631,0,90610,29482,0,0,35.91229366839123,0.6218280364621828,29.053461443705345,0.0
tornado,1100,m,reps_dfp,reps_dfp,reps,0.75,500000,1,825,311.1100014545457,297.196,586.518,1563.81,52.4442,101475,33528,57,0,92639,32050,0,0,33.040650406504064,0.05617147080561715,31.584134023158413,0.0
tornado,1100,m,reps_dfp,reps_dfp,reps,0.75,2000000,1,825,1202.8145721212118,1176.35,2080.02,4528.28,175.385,404250,33528,121,0,374452,32036,0,0,8.293877551020408,0.029931972789115645,7.924799010513296,0.0
tornado,1100,m,reps_dfp,reps_dfp,reps,0.75,10000000,1,825,5961.104624242433,5720.78,10489.5,11015.9,828.355,2019600,33774,130,0,1924306,32344,0,0,1.672311348781937,0.0064369182016240836,1.6015052485640722,0.0
tornado,1100,m,fpar,fpar,oblivious,1.0,500000,1,1100,734.7133018181821,387.038,15866.5,59729.5,69.9918,135300,51379,750,0,122401,42524,0,0,37.974131559497415,0.5543237250554324,31.429416112342942,0.0
tornado,1100,m,reps_dfp,reps_dfp,reps,1.0,500000,1,1100,405.6489001818178,384.39,786.273,2795.0,79.8352,135300,47810,61,0,125284,46046,0,0,35.33628972653363,0.0450849963045085,34.03252032520325,0.0
tornado,1100,m,reps_dfp,reps_dfp,reps,1.0,2000000,1,1100,1574.8675409090906,1489.78,2923.31,3112.94,216.277,539000,47941,128,0,505462,46172,0,0,8.894434137291281,0.023747680890538032,8.566233766233767,0.0
tornado,1100,m,reps_dfp,reps_dfp,reps,1.0,10000000,1,1100,7750.7990999999965,7503.71,14954.9,15496.8,1056.9,2692800,48268,172,0,2597928,46227,0,0,1.792483660130719,0.006387403446226975,1.7166889483065955,0.0
