pattern,nodes,size,strat_label,strat,load_balancing_algo,load_fraction,flowsize,seed,n_flows,fct_mean,fct_p50,fct_p99,fct_max,fct_min,new,rtx,rts,bounced,acks,nacks,pulls,sleek_pkts,rtx_rate_pct,rts_rate_pct,nack_rate_pct,bounced_rate_pct
tornado,8192,l,fpar,fpar,oblivious,0.25,20000,1,2048,47.53125810546884,48.2675,73.6768,85.1336,18.9302,10240,6845,0,0,10177,6845,0,0,66.845703125,0.0,66.845703125,0.0
tornado,8192,l,reps_dfp,reps_dfp,reps,0.25,20000,1,2048,47.467316845703046,48.1512,73.799,86.1018,17.2498,10240,6820,0,0,10166,6820,0,0,66.6015625,0.0,66.6015625,0.0
tornado,8192,l,fpar,fpar,oblivious,0.25,20000,2,2048,47.1478848144532,48.1485,73.4384,82.628,19.4355,10240,6711,0,0,10177,6711,0,0,65.537109375,0.0,65.537109375,0.0
tornado,8192,l,reps_dfp,reps_dfp,reps,0.25,20000,2,2048,47.16994243164059,48.0491,73.2827,80.7467,17.0808,10240,6700,0,0,10166,6700,0,0,65.4296875,0.0,65.4296875,0.0
tornado,8192,l,fpar,fpar,oblivious,0.25,20000,3,2048,47.7214358398437,47.9443,78.9267,90.915,18.4518,10240,6828,0,0,10182,6828,0,0,66.6796875,0.0,66.6796875,0.0
tornado,8192,l,reps_dfp,reps_dfp,reps,0.25,20000,3,2048,47.6163868164062,47.9514,78.0958,91.407,17.0982,10240,6823,0,0,10177,6823,0,0,66.630859375,0.0,66.630859375,0.0
tornado,8192,l,fpar,fpar,oblivious,0.25,20000,4,2048,47.53974755859376,48.2389,73.2557,85.143,19.1752,10240,6825,0,0,10175,6825,0,0,66.650390625,0.0,66.650390625,0.0
tornado,8192,l,reps_dfp,reps_dfp,reps,0.25,20000,4,2048,47.51988261718748,48.4246,72.7144,83.4144,17.1525,10240,6799,0,0,10158,6799,0,0,66.396484375,0.0,66.396484375,0.0
tornado,8192,l,fpar,fpar,oblivious,0.25,20000,5,2048,47.17893989257817,48.0464,70.7312,85.5526,18.9235,10240,6704,0,0,10164,6704,0,0,65.46875,0.0,65.46875,0.0
tornado,8192,l,reps_dfp,reps_dfp,reps,0.25,20000,5,2048,47.17233437499991,48.2376,70.6715,83.7638,17.0091,10240,6698,0,0,10149,6698,0,0,65.41015625,0.0,65.41015625,0.0
tornado,8192,l,fpar,fpar,oblivious,0.25,100000,1,2048,203.22948398437484,200.813,310.047,345.816,28.8818,51200,88569,0,0,50922,88569,0,0,172.986328125,0.0,172.986328125,0.0
tornado,8192,l,reps_dfp,reps_dfp,reps,0.25,100000,1,2048,202.8781937500001,199.798,313.065,352.426,23.9029,51200,88672,0,0,50808,88672,0,0,173.1875,0.0,173.1875,0.0
tornado,8192,l,fpar,fpar,oblivious,0.25,100000,2,2048,202.42019790039072,198.934,313.518,341.846,31.1002,51200,88510,0,0,50897,88510,0,0,172.87109375,0.0,172.87109375,0.0
tornado,8192,l,reps_dfp,reps_dfp,reps,0.25,100000,2,2048,202.0746149414062,199.256,310.401,343.956,24.212,51200,88574,0,0,50788,88574,0,0,172.99609375,0.0,172.99609375,0.0
tornado,8192,l,fpar,fpar,oblivious,0.25,100000,3,2048,204.45183774414065,199.871,351.801,379.867,27.5722,51200,89301,0,0,50945,89301,0,0,174.416015625,0.0,174.416015625,0.0
