pattern,nodes,size,strat_label,strat,load_balancing_algo,extra_flags,load_fraction,flowsize,seed,n_flows,fct_mean,fct_p50,fct_p99,fct_max,fct_min,new,rtx,rts,bounced,acks,nacks,pulls,sleek_pkts,rtx_rate_pct,rts_rate_pct,nack_rate_pct,bounced_rate_pct
permutation,1100,m,reps_dfp_no_hopnorm,reps_dfp,reps,-disable_hop_rtt_normalization,0.6,100000,1,660,25.264714242424255,25.1307,28.9376,29.9496,22.4798,16500,0,0,0,5150,0,0,0,0.0,0.0,0.0,0.0
permutation,1100,m,reps_dfp_hopnorm,reps_dfp,reps,,0.6,100000,1,660,25.264714242424255,25.1307,28.9376,29.9496,22.4798,16500,0,0,0,5150,0,0,0,0.0,0.0,0.0,0.0
permutation,1100,m,reps_dfp_hopnorm_part,reps_dfp,reps,-reps_partition_entropy,0.6,100000,1,660,37.103131060606046,37.1155,43.487,44.7608,27.5358,16500,1144,0,0,12027,1144,0,0,6.933333333333334,0.0,6.933333333333334,0.0
permutation,1100,m,reps_dfp_no_hopnorm,reps_dfp,reps,-disable_hop_rtt_normalization,0.6,100000,2,660,25.144409242424267,24.9696,28.7736,29.4376,22.3067,16500,0,0,0,5185,0,0,0,0.0,0.0,0.0,0.0
permutation,1100,m,reps_dfp_hopnorm,reps_dfp,reps,,0.6,100000,2,660,25.144409242424267,24.9696,28.7736,29.4376,22.3067,16500,0,0,0,5185,0,0,0,0.0,0.0,0.0,0.0
permutation,1100,m,reps_dfp_hopnorm_part,reps_dfp,reps,-reps_partition_entropy,0.6,100000,2,660,37.003839242424235,36.7733,45.6621,47.6541,30.3198,16500,1042,0,0,12036,1042,0,0,6.315151515151515,0.0,6.315151515151515,0.0
permutation,1100,m,reps_dfp_no_hopnorm,reps_dfp,reps,-disable_hop_rtt_normalization,0.6,100000,3,660,25.243288787878807,24.985,28.9638,29.9576,22.4747,16500,0,0,0,5160,0,0,0,0.0,0.0,0.0,0.0
permutation,1100,m,reps_dfp_hopnorm,reps_dfp,reps,,0.6,100000,3,660,25.243288787878807,24.985,28.9638,29.9576,22.4747,16500,0,0,0,5160,0,0,0,0.0,0.0,0.0,0.0
permutation,1100,m,reps_dfp_hopnorm_part,reps_dfp,reps,-reps_partition_entropy,0.6,100000,3,660,36.985650151515124,36.8517,42.9178,44.5778,30.0813,16500,970,0,0,12037,970,0,0,5.878787878787879,0.0,5.878787878787879,0.0
permutation,1100,m,reps_dfp_no_hopnorm,reps_dfp,reps,-disable_hop_rtt_normalization,0.6,100000,4,660,25.365425606060615,25.1427,29.1659,30.945,22.3506,16500,0,0,0,5174,0,0,0,0.0,0.0,0.0,0.0
permutation,1100,m,reps_dfp_hopnorm,reps_dfp,reps,,0.6,100000,4,660,25.365425606060615,25.1427,29.1659,30.945,22.3506,16500,0,0,0,5174,0,0,0,0.0,0.0,0.0,0.0
permutation,1100,m,reps_dfp_hopnorm_part,reps_dfp,reps,-reps_partition_entropy,0.6,100000,4,660,37.170969090909104,37.5909,42.5056,43.5242,29.4518,16500,1044,0,0,12075,1044,0,0,6.327272727272727,0.0,6.327272727272727,0.0
permutation,1100,m,reps_dfp_no_hopnorm,reps_dfp,reps,-disable_hop_rtt_normalization,0.6,100000,5,660,25.28796636363637,25.015,29.1187,31.9496,22.4816,16500,0,0,0,5167,0,0,0,0.0,0.0,0.0,0.0
