pattern,nodes,size,strat_label,strat,load_balancing_algo,extra_flags,load_fraction,flowsize,seed,n_flows,duration_us,fct_mean,fct_p50,fct_p99,fct_max,fct_min,new,rtx,rts,bounced,acks,nacks,pulls,sleek_pkts,rtx_rate_pct,rts_rate_pct,nack_rate_pct,bounced_rate_pct
tornado,1100,m,fpar,fpar,oblivious,,0.25,100000,1,275,38.2376,28.280521454545486,27.4547,35.7547,38.2376,19.4816,6875,0,0,0,3246,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_no_partition,reps_dfp,reps,,0.25,100000,1,275,24.6547,22.42283854545455,22.3136,24.3278,24.6547,21.1416,6875,0,0,0,2110,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.2 -reps_warmup_explore_rtts 1.0 -reps_explore_prob 70,0.25,100000,1,275,25.3238,22.539538545454565,22.3376,24.6627,25.3238,21.1456,6875,0,0,0,2115,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,fpar,fpar,oblivious,,0.25,100000,2,275,35.7496,28.113413090909113,27.4496,35.7496,35.7496,19.4816,6875,0,0,0,3188,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_no_partition,reps_dfp,reps,,0.25,100000,2,275,28.993,22.47380509090909,22.2958,25.157,28.993,21.1456,6875,0,0,0,2113,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.2 -reps_warmup_explore_rtts 1.0 -reps_explore_prob 70,0.25,100000,2,275,26.505,22.566772363636368,22.4696,25.3227,26.505,21.1416,6875,0,0,0,2118,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,fpar,fpar,oblivious,,0.25,100000,3,275,37.5736,28.271660727272753,27.4496,35.7496,37.5736,19.4816,6875,0,0,0,3180,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_no_partition,reps_dfp,reps,,0.25,100000,3,275,25.673,22.425004000000023,22.3216,24.9907,25.673,21.1416,6875,0,0,0,2109,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.2 -reps_warmup_explore_rtts 1.0 -reps_explore_prob 70,0.25,100000,3,275,27.337,22.422598181818177,22.153,24.6547,27.337,20.8227,6875,0,0,0,2114,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,fpar,fpar,oblivious,,0.25,100000,4,275,38.2376,28.48531818181822,27.4496,37.9056,38.2376,19.4816,6875,0,0,0,3257,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_no_partition,reps_dfp,reps,,0.25,100000,4,275,25.3267,22.50730763636364,22.3256,24.8301,25.3267,21.1456,6875,0,0,0,2134,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.2 -reps_warmup_explore_rtts 1.0 -reps_explore_prob 70,0.25,100000,4,275,25.9827,22.525881818181816,22.4336,24.8147,25.9827,21.1456,6875,0,0,0,2118,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,fpar,fpar,oblivious,,0.25,100000,5,275,35.9096,28.057039636363687,27.4496,35.5896,35.9096,19.4816,6875,0,0,0,3125,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_no_partition,reps_dfp,reps,,0.25,100000,5,275,25.153,22.46328181818183,22.3256,24.8363,25.153,20.9816,6875,0,0,0,2121,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.2 -reps_warmup_explore_rtts 1.0 -reps_explore_prob 70,0.25,100000,5,275,26.337,22.42710836363637,22.3216,24.9867,26.337,21.1416,6875,0,0,0,2119,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,fpar,fpar,oblivious,,0.25,500000,1,275,117.109,68.25772545454547,63.4776,116.445,117.109,52.183,33825,184,0,0,19684,184,0,0,0.5439763488543976,0.0,0.5439763488543976,0.0
tornado,1100,m,reps_no_partition,reps_dfp,reps,,0.25,500000,1,275,59.1736,55.279790909090934,55.1045,57.8941,59.1736,53.9834,33825,0,0,0,8910,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.2 -reps_warmup_explore_rtts 1.0 -reps_explore_prob 70,0.25,500000,1,275,59.7451,55.37665890909093,55.0994,59.1616,59.7451,53.9754,33825,0,0,0,8939,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,fpar,fpar,oblivious,,0.25,500000,2,275,95.973,69.8412058181818,63.4776,95.641,95.973,51.9834,33825,181,0,0,20370,181,0,0,0.5351071692535108,0.0,0.5351071692535108,0.0
tornado,1100,m,reps_no_partition,reps_dfp,reps,,0.25,500000,2,275,60.1787,55.420397090909134,55.1896,59.2574,60.1787,54.3074,33825,0,0,0,8924,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.2 -reps_warmup_explore_rtts 1.0 -reps_explore_prob 70,0.25,500000,2,275,59.9514,55.91346763636364,55.6354,59.2874,59.9514,53.7498,33825,0,0,0,9019,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,fpar,fpar,oblivious,,0.25,500000,3,275,128.046,68.63939527272727,63.2714,120.012,128.046,53.669,33825,172,0,0,19601,172,0,0,0.50849963045085,0.0,0.50849963045085,0.0
tornado,1100,m,reps_no_partition,reps_dfp,reps,,0.25,500000,3,275,58.5642,55.32714909090912,55.0994,57.9346,58.5642,53.9794,33825,0,0,0,8923,0,0,0,0.0,0.0,0.0,0.0
