sweep,x,pattern,load,flowsize,mean,p99,mean_delta_pct,p99_delta_pct
explore_prob,0,permutation,0.6,500000,74.84,82.55,7.135004498891184,7.447475017441797
explore_prob,0,permutation,0.7,500000,79.80,88.95,3.331187088354461,4.894805818640375
explore_prob,0,permutation,0.8,500000,85.64,94.80,1.318743125074471,3.8635368415978064
explore_prob,0,permutation,0.9,500000,91.32,100.06,0.3977036774773026,2.4253266017551827
explore_prob,0,tornado,0.25,500000,65.09,72.26,17.614719338979633,23.81114206096315
explore_prob,0,tornado,0.5,500000,76.72,85.83,21.367566220438942,20.06496698024784
explore_prob,0,tornado,0.75,500000,85.16,93.76,3.6886066163599085,4.986882811948903
explore_prob,0,tornado,1.0,500000,98.12,106.77,-0.27241996330553114,2.889245070295864
explore_prob,20,permutation,0.6,500000,73.16,79.94,4.734379214541592,4.046801295379065
explore_prob,20,permutation,0.7,500000,76.83,83.81,-0.5221928009763661,-1.1637359363072288
explore_prob,20,permutation,0.8,500000,81.75,89.81,-3.2934505080178376,-1.5944343623851163
explore_prob,20,permutation,0.9,500000,87.93,95.70,-3.327967919773351,-2.038887522207624
explore_prob,20,tornado,0.25,500000,63.93,67.73,15.515762697716628,16.053758693579905
explore_prob,20,tornado,0.5,500000,70.40,78.80,11.3647408420932,10.241532422402875
explore_prob,20,tornado,0.75,500000,80.93,88.83,-1.4662457458999947,-0.5336450554975236
explore_prob,20,tornado,1.0,500000,96.44,104.41,-1.9809742665317738,0.6102907874999526
explore_prob,40,permutation,0.6,500000,72.17,78.58,3.321172973984972,2.2816651104994587
explore_prob,40,permutation,0.7,500000,75.90,82.42,-1.720360956991847,-2.8087290612045273
explore_prob,40,permutation,0.8,500000,80.68,88.43,-4.558920320529535,-3.1080823947522425
explore_prob,40,permutation,0.9,500000,86.53,94.44,-4.860754100789201,-3.328098242736003
explore_prob,40,tornado,0.25,500000,63.97,68.28,15.592821201490732,16.995809490302186
explore_prob,40,tornado,0.5,500000,66.63,71.79,5.4044862167792385,0.42644489977495825
explore_prob,40,tornado,0.75,500000,78.58,86.43,-4.326787837546612,-3.222808567432867
explore_prob,40,tornado,1.0,500000,96.49,104.70,-1.9283313400204138,0.8868488759407297
explore_prob,70,permutation,0.6,500000,69.79,76.40,-0.09516117049478073,-0.5563587075365836
explore_prob,70,permutation,0.7,500000,74.79,81.18,-3.161983993203605,-4.267831044646109
explore_prob,70,permutation,0.8,500000,81.01,89.74,-4.157521578910624,-1.6767546100616955
explore_prob,70,permutation,0.9,500000,87.36,96.37,-3.9521819006057255,-1.3602478177929063
explore_prob,70,tornado,0.25,500000,55.60,59.56,0.4741760194290855,2.0457934696129407
explore_prob,70,tornado,0.5,500000,67.18,72.55,6.268427428845825,1.4926270964348254
explore_prob,70,tornado,0.75,500000,78.62,88.52,-4.276827246569892,-0.8848550129902907
explore_prob,70,tornado,1.0,500000,97.05,103.73,-1.364983583316558,-0.04689602893420313
threshold,0.1,tornado,1.0,100000,44.15,48.88,40.61775985667675,36.04038166069163
threshold,0.2,tornado,1.0,100000,44.91,49.76,43.04518798651337,38.50174797924692
threshold,0.35,tornado,1.0,100000,45.95,50.85,46.34178361361363,41.545681266561274
threshold,0.5,tornado,1.0,100000,47.58,52.49,51.53656741359062,46.10712774722216
warmup_rtts,0,tornado,1.0,100000,44.91,49.76,43.04518798651337,38.50174797924692
warmup_rtts,0.5,tornado,1.0,100000,37.15,41.68,18.31130562490598,16.017761844322223
warmup_rtts,1,tornado,1.0,100000,31.79,37.19,1.265840688814781,3.5283387888099713
warmup_rtts,2,tornado,1.0,100000,31.79,37.19,1.265840688814781,3.5283387888099713
warmup_rtts,4,tornado,1.0,100000,31.79,37.19,1.265840688814781,3.5283387888099713
warmup_rtts,8,tornado,1.0,100000,31.79,37.19,1.265840688814781,3.5283387888099713
